Parental.Performance,Parent.ID,Fragment.ID,Cohort,Treatment,Date,Time,Fo.Rep1,Fm.Rep1,Yield.Rep1,Fo.Rep2,Fm.Rep2,Yield.Rep2,QC,Time2,Rep1.Notes,Rep2.Notes
Nonbleached,W104,A026,Cohort16,High,20160616,20:15,567,1617,0.649,706,1872,0.622,BL,21:30,,
Nonbleached,W104,A027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BL,NA,,
Nonbleached,W104,A028,Cohort15,Ambient,20160616,20:21,549,1444,0.619,561,1577,0.644,BL,21:36,,
Nonbleached,W104,A029,Cohort14,Ambient,20160616,20:38,582,1709,0.659,594,1746,0.659,BL,21:48,,
Nonbleached,W104,A030,Cohort17,High,20160616,21:20,236,618,0.618,544,1625,0.665,BL,22:39,,
Nonbleached,W104,A031,Cohort13,High,20160616,20:59,284,808,0.648,NA,NA,NA,BL,NA,NA,NA
Nonbleached,W104,A032,Cohort11,Ambient,20160616,21:02,419,1378,0.695,NA,NA,NA,BL,NA,Dead,Dead
Nonbleached,W104,A033,Cohort12,High,20160616,20:52,458,1430,0.679,259,657,0.605,BL,21:58,,
Nonbleached,W104,A034,Cohort18,Ambient,20160616,21:14,328,937,0.649,222,626,0.645,BL,22:25,Bleached,Bleached
Bleached,W103,A035,Cohort17,High,20160616,21:19,282,650,0.566,223,546,0.591,BL,22:30,Bleached,Bleached
Bleached,W103,A036,Cohort14,Ambient,20160616,20:35,577,1665,0.653,560,1613,0.652,BL,21:45,,
Bleached,W103,A037,Cohort18,Ambient,20160616,21:13,595,1952,0.695,483,1308,0.63,BL,22:25,,
Bleached,W103,A038,Cohort11,Ambient,20160616,21:08,864,2288,0.622,504,1694,0.702,BL,22:20,Mostly dead,Mostly dead
Bleached,W103,A039,Cohort16,High,20160616,20:21,444,1362,0.674,628,1908,0.67,BL,21:35,,
Bleached,W103,A040,Cohort12,High,20160616,20:50,676,1884,0.641,651,1313,0.504,BL,21:57,,
Bleached,W103,A041,Cohort13,High,20160616,21:00,816,2360,0.654,869,2545,0.658,BL,22:10,,
Bleached,W103,A042,Cohort15,Ambient,20160616,20:29,394,1160,0.66,209,529,0.604,BL,21:41,,
Nonbleached,W262,A043,Cohort11,Ambient,NA,NA,NA,NA,NA,NA,NA,NA,BL,NA,,
Nonbleached,W262,A044,Cohort18,Ambient,20160616,21:15,540,1411,0.617,614,1799,0.658,BL,22:27,,
Nonbleached,W262,A045,Cohort12,High,20160616,20:46,780,2021,0.614,NA,NA,NA,BL,NA,,
Nonbleached,W262,A046,Cohort14,Ambient,NA,NA,NA,NA,NA,NA,NA,NA,BL,NA,Already Dead,Already Dead
Nonbleached,W262,A047,Cohort15,Ambient,20160616,20:25,583,1717,0.66,237,694,0.658,BL,21:39,,
Nonbleached,W262,A048,Cohort13,High,NA,NA,NA,NA,NA,NA,NA,NA,BL,NA,Already Dead,Already Dead
Nonbleached,W262,A049,Cohort17,High,20160616,21:21,1117,2670,0.581,700,1856,0.622,BL,22:35,Bleached,Bleached
Nonbleached,W262,A050,Cohort16,High,20160616,20:18,336,907,0.629,309,862,0.641,BL,21:33,Very little live tissue left,
Nonbleached,W106,A051,Cohort13,High,20160616,20:58,273,820,0.667,466,1180,0.605,BL,22:08,,
Nonbleached,W106,A052,Cohort14,Ambient,20160616,20:37,547,1598,0.657,720,1988,0.637,BL,21:48,,
Nonbleached,W106,A053,Cohort11,Ambient,20160616,21:06,593,1558,0.619,656,1819,0.639,BL,22:17,,
Nonbleached,W106,A054,Cohort12,High,NA,NA,NA,NA,NA,NA,NA,NA,BL,NA,Dead,Dead
Nonbleached,W106,A055,Cohort18,Ambient,20160616,21:15,341,806,0.576,NA,NA,NA,BL,NA,Dead,Dead
Nonbleached,W106,A056,Cohort16,High,20160616,20:17,773,1909,0.595,366,1082,0.661,BL,21:32,,
Nonbleached,W106,A057,Cohort17,High,20160616,21:18,637,1658,0.615,642,1775,0.638,BL,22:30,,
Nonbleached,W106,A058,Cohort15,Ambient,20160616,20:33,129,374,0.655,146,339,0.569,BL,21:44,,
Bleached,W257,A067,Cohort15,Ambient,20160616,20:23,536,1808,0.703,543,1637,0.668,BL,21:36,,
Bleached,W257,A068,Cohort14,Ambient,20160616,20:42,564,1605,0.648,469,1490,0.685,BL,21:51,,
Bleached,W257,A069,Cohort12,High,20160616,20:54,620,1778,0.651,382,1119,0.658,BL,22:00,,
Bleached,W257,A070,Cohort11,Ambient,20160616,22:21,628,2047,0.693,720,2282,0.684,BL,22:22,,
Bleached,W257,A071,Cohort13,High,20160616,20:58,501,1675,0.7,672,2097,0.679,BL,22:06,,
Bleached,W257,A072,Cohort18,Ambient,NA,NA,NA,NA,NA,NA,NA,NA,BL,NA,Already Dead,Already Dead
Bleached,W257,A073,Cohort16,High,20160616,20:16,567,1778,0.681,552,1694,0.674,BL,21:31,,
Bleached,W257,A074,Cohort17,High,20160616,21:20,425,1012,0.58,639,1800,0.645,BL,22:31,,
Bleached,W261,A083,Cohort15,Ambient,20160616,20:30,392,1377,0.715,692,2207,0.686,BL,21:43,,
Bleached,W261,A084,Cohort18,Ambient,20160616,21:12,869,2543,0.658,785,2070,0.62,BL,22:28,,
Bleached,W261,A085,Cohort17,High,20160616,21:21,629,2086,0.698,421,1375,0.693,BL,22:34,,
Bleached,W261,A086,Cohort14,Ambient,20160616,20:44,540,1713,0.684,529,1910,0.723,BL,21:52,,
Bleached,W261,A087,Cohort11,Ambient,20160616,21:08,711,2404,0.704,707,2085,0.66,BL,22:20,,
Bleached,W261,A088,Cohort16,High,20160616,20:14,563,1517,0.628,631,1938,0.674,BL,21:30,,
Bleached,W261,A089,Cohort13,High,20160616,20:56,234,633,0.63,446,1314,0.66,BL,22:02,,
Bleached,W261,A090,Cohort12,High,20160616,20:50,399,1132,0.647,503,1496,0.663,BL,21:58,,
Bleached,W117,A091,Cohort14,Ambient,20160616,20:40,484,1691,0.713,582,1798,0.676,BL,21:50,,
Bleached,W117,A092,Cohort12,High,20160616,20:50,556,1598,0.652,503,1600,0.685,BL,21:58,,
Bleached,W117,A093,Cohort17,High,20160616,21:20,613,1981,0.69,510,1703,0.7,BL,22:32,,
Bleached,W117,A094,Cohort18,Ambient,20160616,21:12,581,1734,0.664,611,1863,0.672,BL,22:25,,
Bleached,W117,A095,Cohort11,Ambient,20160616,21:05,531,1452,0.634,551,1611,0.657,BL,22:22,,
Bleached,W117,A096,Cohort15,Ambient,20160616,20:26,413,1317,0.686,466,1465,0.681,BL,21:39,,
Bleached,W117,A097,Cohort13,High,20160616,20:57,621,2043,0.696,606,2050,0.704,BL,22:03,,
Bleached,W117,A098,Cohort16,High,20160616,20:20,597,1914,0.688,550,1692,0.674,BL,21:34,,
