Parental.Performance,Parent.ID,Fragment.ID,Cohort,Treatment,Date,TimePoint,Mass.g,Temp.C,Days,QC,Notes
Nonbleached,W104,A026,Cohort16,High,20160302,Time0,57.18,24.32,NA,HP,
Nonbleached,W104,A027,NA,NA,20160302,Time0,NA,NA,NA,HP,
Nonbleached,W104,A028,Cohort15,Ambient,20160302,Time0,48.58,24.5,NA,HP,
Nonbleached,W104,A029,Cohort14,Ambient,20160302,Time0,32.65,24.52,NA,HP,
Nonbleached,W104,A030,Cohort17,High,20160302,Time0,33.18,24.52,NA,HP,
Nonbleached,W104,A031,Cohort13,High,20160302,Time0,59.62,24.55,NA,HP,
Nonbleached,W104,A032,Cohort11,Ambient,20160302,Time0,35.71,24.54,NA,HP,
Nonbleached,W104,A033,Cohort12,High,20160302,Time0,68.09,24.55,NA,HP,
Nonbleached,W104,A034,Cohort18,Ambient,20160302,Time0,37.84,24.54,NA,HP,
Bleached,W103,A035,Cohort17,High,20160302,Time0,36.64,24.51,NA,HP,
Bleached,W103,A036,Cohort14,Ambient,20160302,Time0,67.8,24.5,NA,HP,
Bleached,W103,A037,Cohort18,Ambient,20160302,Time0,89.77,24.49,NA,HP,
Bleached,W103,A038,Cohort11,Ambient,20160302,Time0,136.6,24.53,NA,HP,
Bleached,W103,A039,Cohort16,High,20160302,Time0,111.13,24.31,NA,HP,
Bleached,W103,A040,Cohort12,High,20160302,Time0,111.92,24.58,NA,HP,
Bleached,W103,A041,Cohort13,High,20160302,Time0,163.28,24.55,NA,HP,
Bleached,W103,A042,Cohort15,Ambient,20160302,Time0,73.06,24.52,NA,HP,
Nonbleached,W262,A043,Cohort11,Ambient,20160302,Time0,46.14,24.56,NA,HP,
Nonbleached,W262,A044,Cohort18,Ambient,20160302,Time0,212.86,24.51,NA,HP,
Nonbleached,W262,A045,Cohort12,High,20160302,Time0,61.64,24.57,NA,HP,
Nonbleached,W262,A046,Cohort14,Ambient,20160302,Time0,110.2,24.52,NA,HP,
Nonbleached,W262,A047,Cohort15,Ambient,20160302,Time0,102.1,24.5,NA,HP,
Nonbleached,W262,A048,Cohort13,High,20160302,Time0,87.36,24.56,NA,HP,
Nonbleached,W262,A049,Cohort17,High,20160302,Time0,68.43,24.52,NA,HP,
Nonbleached,W262,A050,Cohort16,High,20160302,Time0,125.69,24.32,NA,HP,
Nonbleached,W106,A051,Cohort13,High,20160302,Time0,38.83,24.54,NA,HP,
Nonbleached,W106,A052,Cohort14,Ambient,20160302,Time0,43.84,24.51,NA,HP,
Nonbleached,W106,A053,Cohort11,Ambient,20160302,Time0,41.36,24.5,NA,HP,
Nonbleached,W106,A054,Cohort12,High,20160302,Time0,43.45,24.58,NA,HP,
Nonbleached,W106,A055,Cohort18,Ambient,20160302,Time0,55.6,24.52,NA,HP,
Nonbleached,W106,A056,Cohort16,High,20160302,Time0,66.2,24.36,NA,HP,
Nonbleached,W106,A057,Cohort17,High,20160302,Time0,113.02,24.51,NA,HP,
Nonbleached,W106,A058,Cohort15,Ambient,20160302,Time0,44.84,24.53,NA,HP,
Bleached,W257,A067,Cohort15,Ambient,20160302,Time0,40.03,24.53,NA,HP,
Bleached,W257,A068,Cohort14,Ambient,20160302,Time0,37.88,24.52,NA,HP,
Bleached,W257,A069,Cohort12,High,20160302,Time0,63.33,24.57,NA,HP,
Bleached,W257,A070,Cohort11,Ambient,20160302,Time0,83.93,24.53,NA,HP,
Bleached,W257,A071,Cohort13,High,20160302,Time0,76.28,24.55,NA,HP,
Bleached,W257,A072,Cohort18,Ambient,20160302,Time0,118.65,24.51,NA,HP,
Bleached,W257,A073,Cohort16,High,20160302,Time0,135.44,24.51,NA,HP,
Bleached,W257,A074,Cohort17,High,20160302,Time0,120.1,24.52,NA,HP,
Bleached,W261,A083,Cohort15,Ambient,20160302,Time0,36.25,24.5,NA,HP,
Bleached,W261,A084,NA,NA,20160302,Time0,NA,NA,NA,HP,
Bleached,W261,A085,Cohort17,High,20160302,Time0,50.08,24.53,NA,HP,
Bleached,W261,A086,Cohort14,Ambient,20160302,Time0,65.79,24.52,NA,HP,
Bleached,W261,A087,Cohort11,Ambient,20160302,Time0,96.79,24.53,NA,HP,
Bleached,W261,A088,Cohort16,High,20160302,Time0,77.5,24.3,NA,HP,
Bleached,W261,A089,Cohort13,High,20160302,Time0,99.67,24.54,NA,HP,
Bleached,W261,A090,Cohort12,High,20160302,Time0,198.71,24.59,NA,HP,
Bleached,W117,A091,Cohort14,Ambient,20160302,Time0,76.38,24.52,NA,HP,
Bleached,W117,A092,Cohort12,High,20160302,Time0,67.84,24.52,NA,HP,
Bleached,W117,A093,Cohort17,High,20160302,Time0,74.33,24.5,NA,HP,
Bleached,W117,A094,Cohort18,Ambient,20160302,Time0,118.63,24.52,NA,HP,
Bleached,W117,A095,Cohort11,Ambient,20160302,Time0,51.66,24.52,NA,HP,
Bleached,W117,A096,Cohort15,Ambient,20160302,Time0,31.85,24.53,NA,HP,
Bleached,W117,A097,Cohort13,High,20160302,Time0,30.59,24.55,NA,HP,
Bleached,W117,A098,Cohort16,High,20160302,Time0,100.9,24.37,NA,HP,
Bleached,W117,A099,NA,NA,20160302,Time0,NA,NA,NA,HP,
Nonbleached,W118,A100,Cohort13,High,20160302,Time0,81.24,24.54,NA,HP,
Nonbleached,W118,A101,Cohort16,High,20160302,Time0,48.41,24.31,NA,HP,
Nonbleached,W118,A102,Cohort17,High,20160302,Time0,48.39,24.51,NA,HP,
Nonbleached,W118,A103,Cohort14,Ambient,20160302,Time0,56.18,24.52,NA,HP,
Nonbleached,W118,A104,Cohort15,Ambient,20160302,Time0,26.33,24.51,NA,HP,
Nonbleached,W118,A105,Cohort11,Ambient,20160302,Time0,109.34,24.51,NA,HP,
Nonbleached,W118,A106,Cohort12,High,20160302,Time0,41.01,24.55,NA,HP,
Nonbleached,W118,A107,Cohort18,Ambient,20160302,Time0,108.84,24.52,NA,HP,
Bleached,W269,A108,Cohort13,High,20160302,Time0,77.79,24.55,NA,HP,
Bleached,W269,A109,Cohort15,Ambient,20160302,Time0,83.4,24.52,NA,HP,
Bleached,W269,A110,Cohort11,Ambient,20160302,Time0,42.5,24.55,NA,HP,
Bleached,W269,A111,Cohort16,High,20160302,Time0,55.33,24.3,NA,HP,
Bleached,W269,A112,NA,NA,20160302,Time0,NA,NA,NA,HP,
Bleached,W269,A113,Cohort14,Ambient,20160302,Time0,80.31,24.51,NA,HP,
Bleached,W269,A114,Cohort18,Ambient,20160302,Time0,57.71,24.52,NA,HP,
Bleached,W269,A115,Cohort12,High,20160302,Time0,34.82,24.57,NA,HP,
Bleached,W269,A116,NA,NA,20160302,Time0,NA,NA,NA,HP,
Nonbleached,W270,A117,NA,NA,20160302,Time0,NA,NA,NA,HP,
Nonbleached,W270,A118,Cohort11,Ambient,20160302,Time0,66.76,24.55,NA,HP,
Nonbleached,W270,A119,Cohort14,Ambient,20160302,Time0,31.92,24.53,NA,HP,
Nonbleached,W270,A120,Cohort16,High,20160302,Time0,35.21,24.47,NA,HP,
Nonbleached,W270,A121,Cohort17,High,20160302,Time0,103.16,24.55,NA,HP,
Nonbleached,W270,A122,Cohort13,High,20160302,Time0,37.42,24.56,NA,HP,
Nonbleached,W270,A123,Cohort12,High,20160302,Time0,26.87,24.59,NA,HP,
Nonbleached,W270,A124,Cohort18,Ambient,20160302,Time0,67.43,24.52,NA,HP,
Nonbleached,W270,A125,Cohort15,Ambient,20160302,Time0,38.08,24.49,NA,HP,
Nonbleached,W104,A026,Cohort16,High,20160401,Time1,59.04,25.49,30,HP,
Nonbleached,W104,A027,NA,NA,20160401,Time1,NA,NA,NA,HP,
Nonbleached,W104,A028,Cohort15,Ambient,20160401,Time1,50.59,24.52,30,HP,
Nonbleached,W104,A029,Cohort14,Ambient,20160401,Time1,33.84,24.54,30,HP,
Nonbleached,W104,A030,Cohort17,High,20160401,Time1,34.6,25.8,30,HP,
Nonbleached,W104,A031,Cohort13,High,20160401,Time1,61.04,25.63,30,HP,
Nonbleached,W104,A032,Cohort11,Ambient,20160401,Time1,37.16,24.54,30,HP,
Nonbleached,W104,A033,Cohort12,High,20160401,Time1,69.34,25.63,30,HP,
Nonbleached,W104,A034,Cohort18,Ambient,20160401,Time1,39.12,24.58,30,HP,
Bleached,W103,A035,Cohort17,High,20160401,Time1,37.69,25.73,30,HP,
Bleached,W103,A036,Cohort14,Ambient,20160401,Time1,68.85,24.53,30,HP,
Bleached,W103,A037,Cohort18,Ambient,20160401,Time1,90.9,24.55,30,HP,
Bleached,W103,A038,Cohort11,Ambient,20160401,Time1,138.28,24.53,30,HP,
Bleached,W103,A039,Cohort16,High,20160401,Time1,113.28,25.59,30,HP,
Bleached,W103,A040,Cohort12,High,20160401,Time1,113.74,25.58,30,HP,
Bleached,W103,A041,Cohort13,High,20160401,Time1,164.75,25.56,30,HP,
Bleached,W103,A042,Cohort15,Ambient,20160401,Time1,74.88,24.5,30,HP,
Nonbleached,W262,A043,Cohort11,Ambient,20160401,Time1,47.09,24.53,30,HP,
Nonbleached,W262,A044,Cohort18,Ambient,20160401,Time1,214,24.63,30,HP,
Nonbleached,W262,A045,Cohort12,High,20160401,Time1,62.46,25.54,30,HP,
Nonbleached,W262,A046,Cohort14,Ambient,20160401,Time1,110.82,24.53,30,HP,
Nonbleached,W262,A047,Cohort15,Ambient,20160401,Time1,103.77,24.49,30,HP,
Nonbleached,W262,A048,Cohort13,High,20160401,Time1,88.39,25.62,30,HP,
Nonbleached,W262,A049,Cohort17,High,20160401,Time1,70.06,25.58,30,HP,
Nonbleached,W262,A050,Cohort16,High,20160401,Time1,125.76,25.47,30,HP,
Nonbleached,W106,A051,Cohort13,High,20160401,Time1,39.69,25.62,30,HP,
Nonbleached,W106,A052,Cohort14,Ambient,20160401,Time1,44.84,24.51,30,HP,
Nonbleached,W106,A053,Cohort11,Ambient,20160401,Time1,42.79,24.53,30,HP,
Nonbleached,W106,A054,Cohort12,High,20160401,Time1,44.16,25.6,30,HP,
Nonbleached,W106,A055,Cohort18,Ambient,20160401,Time1,56.34,24.59,30,HP,
Nonbleached,W106,A056,Cohort16,High,20160401,Time1,66.3,25.45,30,HP,
Nonbleached,W106,A057,Cohort17,High,20160401,Time1,110.14,25.52,30,HP,
Nonbleached,W106,A058,Cohort15,Ambient,20160401,Time1,45.87,24.5,30,HP,
Bleached,W257,A067,Cohort15,Ambient,20160401,Time1,41.86,24.48,30,HP,
Bleached,W257,A068,Cohort14,Ambient,20160401,Time1,39.27,24.5,30,HP,
Bleached,W257,A069,Cohort12,High,20160401,Time1,63.68,25.54,30,HP,
Bleached,W257,A070,Cohort11,Ambient,20160401,Time1,84.93,24.53,30,HP,
Bleached,W257,A071,Cohort13,High,20160401,Time1,77.68,25.62,30,HP,
Bleached,W257,A072,Cohort18,Ambient,20160401,Time1,120.38,24.61,30,HP,
Bleached,W257,A073,Cohort16,High,20160401,Time1,137.92,25.63,30,HP,
Bleached,W257,A074,Cohort17,High,20160401,Time1,121.92,25.49,30,HP,
Bleached,W261,A083,Cohort15,Ambient,20160401,Time1,38.35,24.56,30,HP,
Bleached,W261,A084,NA,NA,20160401,Time1,NA,NA,NA,HP,
Bleached,W261,A085,Cohort17,High,20160401,Time1,53.06,25.65,30,HP,
Bleached,W261,A086,Cohort14,Ambient,20160401,Time1,68.37,24.51,30,HP,
Bleached,W261,A087,Cohort11,Ambient,20160401,Time1,99.66,24.53,30,HP,
Bleached,W261,A088,Cohort16,High,20160401,Time1,81.01,25.64,30,HP,
Bleached,W261,A089,Cohort13,High,20160401,Time1,102.76,25.59,30,HP,
Bleached,W261,A090,Cohort12,High,20160401,Time1,204.26,25.56,30,HP,
Bleached,W117,A091,Cohort14,Ambient,20160401,Time1,79.59,24.53,30,HP,
Bleached,W117,A092,Cohort12,High,20160401,Time1,74.4,25.6,30,HP,
Bleached,W117,A093,Cohort17,High,20160401,Time1,77.29,25.44,30,HP,
Bleached,W117,A094,Cohort18,Ambient,20160401,Time1,121.55,24.57,30,HP,
Bleached,W117,A095,Cohort11,Ambient,20160401,Time1,53.78,24.53,30,HP,
Bleached,W117,A096,Cohort15,Ambient,20160401,Time1,33.27,24.49,30,HP,
Bleached,W117,A097,Cohort13,High,20160401,Time1,32.81,25.63,30,HP,
Bleached,W117,A098,Cohort16,High,20160401,Time1,104.72,25.47,30,HP,
Bleached,W117,A099,NA,NA,20160401,Time1,NA,NA,NA,HP,
Nonbleached,W118,A100,Cohort13,High,20160401,Time1,83.24,25.6,30,HP,
Nonbleached,W118,A101,Cohort16,High,20160401,Time1,50.45,25.44,30,HP,
Nonbleached,W118,A102,Cohort17,High,20160401,Time1,49.9,25.64,30,HP,
Nonbleached,W118,A103,Cohort14,Ambient,20160401,Time1,57.61,24.53,30,HP,
Nonbleached,W118,A104,Cohort15,Ambient,20160401,Time1,28.12,24.48,30,HP,
Nonbleached,W118,A105,Cohort11,Ambient,20160401,Time1,111.73,24.53,30,HP,
Nonbleached,W118,A106,Cohort12,High,20160401,Time1,42.45,25.58,30,HP,
Nonbleached,W118,A107,Cohort18,Ambient,20160401,Time1,111.75,24.59,30,HP,
Bleached,W269,A108,Cohort13,High,20160401,Time1,79.81,25.5,30,HP,
Bleached,W269,A109,Cohort15,Ambient,20160401,Time1,85.95,24.49,30,HP,
Bleached,W269,A110,Cohort11,Ambient,20160401,Time1,44.65,24.52,30,HP,
Bleached,W269,A111,Cohort16,High,20160401,Time1,58.13,25.45,30,HP,
Bleached,W269,A112,NA,NA,20160401,Time1,NA,NA,NA,HP,
Bleached,W269,A113,Cohort14,Ambient,20160401,Time1,81.5,24.54,30,HP,
Bleached,W269,A114,Cohort18,Ambient,20160401,Time1,60.39,24.64,30,HP,
Bleached,W269,A115,Cohort12,High,20160401,Time1,36.27,25.54,30,HP,
Bleached,W269,A116,NA,NA,20160401,Time1,NA,NA,NA,HP,
Nonbleached,W270,A117,NA,NA,20160401,Time1,NA,NA,NA,HP,
Nonbleached,W270,A118,Cohort11,Ambient,20160401,Time1,69.25,24.54,30,HP,
Nonbleached,W270,A119,Cohort14,Ambient,20160401,Time1,34.15,25.52,30,HP,
Nonbleached,W270,A120,Cohort16,High,20160401,Time1,37.35,25.44,30,HP,
Nonbleached,W270,A121,Cohort17,High,20160401,Time1,106.32,25.48,30,HP,
Nonbleached,W270,A122,Cohort13,High,20160401,Time1,39.65,25.53,30,HP,
Nonbleached,W270,A123,Cohort12,High,20160401,Time1,28.76,25.56,30,HP,
Nonbleached,W270,A124,Cohort18,Ambient,20160401,Time1,68.85,24.66,30,HP,
Nonbleached,W270,A125,Cohort15,Ambient,20160401,Time1,40.01,24.48,30,HP,
Nonbleached,W104,A026,Cohort16,High,20160421,Time2,59.468,23.91,20,AH,
Nonbleached,W104,A027,NA,NA,20160420,Time2,NA,NA,NA,AH,
Nonbleached,W104,A028,Cohort15,Ambient,20160421,Time2,51.036,25.42,20,AH,
Nonbleached,W104,A029,Cohort14,Ambient,20160420,Time2,33.981,23.77,19,AH,
Nonbleached,W104,A030,Cohort17,High,20160421,Time2,34.653,23.82,20,AH,
Nonbleached,W104,A031,Cohort13,High,20160421,Time2,61.274,23.56,20,AH,
Nonbleached,W104,A032,Cohort11,Ambient,20160420,Time2,37.291,23.87,19,AH,
Nonbleached,W104,A033,Cohort12,High,20160420,Time2,69.953,24.31,19,AH,
Nonbleached,W104,A034,Cohort18,Ambient,20160420,Time2,39.049,23.78,19,AH,
Bleached,W103,A035,Cohort17,High,20160421,Time2,37.677,23.86,20,AH,
Bleached,W103,A036,Cohort14,Ambient,20160420,Time2,68.916,23.78,19,AH,
Bleached,W103,A037,Cohort18,Ambient,20160420,Time2,90.868,23.73,19,AH,
Bleached,W103,A038,Cohort11,Ambient,20160420,Time2,138.348,23.89,19,AH,
Bleached,W103,A039,Cohort16,High,20160421,Time2,113.846,23.89,20,AH,
Bleached,W103,A040,Cohort12,High,20160420,Time2,113.963,24.57,19,AH,
Bleached,W103,A041,Cohort13,High,20160421,Time2,165.314,23.58,20,AH,
Bleached,W103,A042,Cohort15,Ambient,20160421,Time2,75.186,25.49,20,AH,
Nonbleached,W262,A043,Cohort11,Ambient,20160420,Time2,46.884,23.86,19,AH,
Nonbleached,W262,A044,Cohort18,Ambient,20160420,Time2,213.299,23.78,19,AH,
Nonbleached,W262,A045,Cohort12,High,20160420,Time2,62.728,24.73,19,AH,
Nonbleached,W262,A046,Cohort14,Ambient,20160420,Time2,110.339,23.82,19,AH,
Nonbleached,W262,A047,Cohort15,Ambient,20160421,Time2,104.335,25.49,20,AH,
Nonbleached,W262,A048,Cohort13,High,20160421,Time2,88.484,23.72,20,AH,
Nonbleached,W262,A049,Cohort17,High,20160421,Time2,70.036,23.78,20,AH,
Nonbleached,W262,A050,Cohort16,High,20160421,Time2,125.408,23.84,20,AH,
Nonbleached,W106,A051,Cohort13,High,20160421,Time2,39.777,23.58,20,AH,
Nonbleached,W106,A052,Cohort14,Ambient,20160420,Time2,44.84,23.81,19,AH,
Nonbleached,W106,A053,Cohort11,Ambient,20160420,Time2,42.971,23.86,19,AH,
Nonbleached,W106,A054,Cohort12,High,20160420,Time2,43.492,24.49,19,AH,
Nonbleached,W106,A055,Cohort18,Ambient,20160420,Time2,55.982,23.81,19,AH,
Nonbleached,W106,A056,Cohort16,High,20160421,Time2,65.288,23.92,20,AH,
Nonbleached,W106,A057,Cohort17,High,20160421,Time2,111.1,23.83,20,AH,
Nonbleached,W106,A058,Cohort15,Ambient,20160421,Time2,45.948,25.43,20,AH,
Bleached,W257,A067,Cohort15,Ambient,20160421,Time2,42.586,25.43,20,AH,
Bleached,W257,A068,Cohort14,Ambient,20160420,Time2,39.508,23.74,19,AH,
Bleached,W257,A069,Cohort12,High,20160420,Time2,62.622,24.7,19,AH,
Bleached,W257,A070,Cohort11,Ambient,20160420,Time2,85.945,23.89,19,AH,
Bleached,W257,A071,Cohort13,High,20160421,Time2,77.812,23.6,20,AH,
Bleached,W257,A072,Cohort18,Ambient,20160420,Time2,118.47,23.72,19,AH,
Bleached,W257,A073,Cohort16,High,20160421,Time2,138.869,23.88,20,AH,
Bleached,W257,A074,Cohort17,High,20160421,Time2,122.328,23.83,20,AH,
Bleached,W261,A083,Cohort15,Ambient,20160421,Time2,39.456,25.45,20,AH,
Bleached,W261,A084,,Ambient,20160420,Time2,55.521,23.87,19,AH,
Bleached,W261,A085,Cohort17,High,20160421,Time2,53.605,25.88,20,AH,
Bleached,W261,A086,Cohort14,Ambient,20160420,Time2,69.347,23.77,19,AH,
Bleached,W261,A087,Cohort11,Ambient,20160420,Time2,100.648,23.88,19,AH,
Bleached,W261,A088,Cohort16,High,20160421,Time2,83.034,23.9,20,AH,
Bleached,W261,A089,Cohort13,High,20160421,Time2,104.063,23.77,20,AH,
Bleached,W261,A090,Cohort12,High,20160420,Time2,205.67,24.39,19,AH,
Bleached,W117,A091,Cohort14,Ambient,20160420,Time2,80.528,23.81,19,AH,
Bleached,W117,A092,Cohort12,High,20160420,Time2,73.138,24.55,19,AH,
Bleached,W117,A093,Cohort17,High,20160421,Time2,78.462,23.86,20,AH,
Bleached,W117,A094,Cohort18,Ambient,20160420,Time2,122.923,23.8,19,AH,
Bleached,W117,A095,Cohort11,Ambient,20160420,Time2,54.948,23.89,19,AH,
Bleached,W117,A096,Cohort15,Ambient,20160421,Time2,34.01,25.46,20,AH,
Bleached,W117,A097,Cohort13,High,20160421,Time2,33.967,23.73,20,AH,
Bleached,W117,A098,Cohort16,High,20160421,Time2,107.217,23.85,20,AH,
Bleached,W117,A099,NA,NA,20160420,Time2,NA,NA,NA,AH,
Nonbleached,W118,A100,Cohort13,High,20160421,Time2,83.923,23.56,20,AH,
Nonbleached,W118,A101,Cohort16,High,20160421,Time2,51.505,23.86,20,AH,
Nonbleached,W118,A102,Cohort17,High,20160421,Time2,50.071,23.88,20,AH,
Nonbleached,W118,A103,Cohort14,Ambient,20160420,Time2,58.036,23.74,19,AH,
Nonbleached,W118,A104,Cohort15,Ambient,20160421,Time2,29,25.4,20,AH,
Nonbleached,W118,A105,Cohort11,Ambient,20160420,Time2,112.676,23.88,19,AH,
Nonbleached,W118,A106,Cohort12,High,20160420,Time2,42.966,24.63,19,AH,
Nonbleached,W118,A107,Cohort18,Ambient,20160420,Time2,112.703,23.71,19,AH,
Bleached,W269,A108,Cohort13,High,20160421,Time2,81.379,23.74,20,AH,
Bleached,W269,A109,Cohort15,Ambient,20160421,Time2,85.965,25.44,20,AH,
Bleached,W269,A110,Cohort11,Ambient,20160420,Time2,45.519,23.88,19,AH,
Bleached,W269,A111,Cohort16,High,20160421,Time2,59.715,23.91,20,AH,
Bleached,W269,A112,NA,NA,20160420,Time2,NA,NA,NA,AH,
Bleached,W269,A113,Cohort14,Ambient,20160420,Time2,81.869,23.83,19,AH,
Bleached,W269,A114,Cohort18,Ambient,20160420,Time2,61.825,23.83,19,AH,
Bleached,W269,A115,Cohort12,High,20160421,Time2,36.678,25.88,20,AH,
Bleached,W269,A116,NA,NA,20160420,Time2,NA,NA,NA,AH,
Nonbleached,W270,A117,NA,NA,20160421,Time2,NA,NA,NA,AH,
Nonbleached,W270,A118,Cohort11,Ambient,20160420,Time2,70.627,23.87,19,AH,
Nonbleached,W270,A119,Cohort14,Ambient,20160420,Time2,35.062,23.79,19,AH,
Nonbleached,W270,A120,Cohort16,High,20160421,Time2,38.287,23.93,20,AH,
Nonbleached,W270,A121,Cohort17,High,20160421,Time2,107.562,23.8,20,AH,
Nonbleached,W270,A122,Cohort13,High,20160421,Time2,40.489,23.58,20,AH,
Nonbleached,W270,A123,Cohort12,High,20160420,Time2,29.229,24.68,19,AH,
Nonbleached,W270,A124,Cohort18,Ambient,20160420,Time2,68.786,23.75,19,AH,
Nonbleached,W270,A125,Cohort15,Ambient,20160421,Time2,41.314,25.38,20,AH,
Nonbleached,W104,A026,Cohort16,High,20160527,Time3,60.316,27.28,36,AH,
Nonbleached,W104,A027,NA,NA,NA,Time3,NA,NA,NA,AH,
Nonbleached,W104,A028,Cohort15,Ambient,20160526,Time3,51.548,26.29,35,AH,
Nonbleached,W104,A029,Cohort14,Ambient,20160526,Time3,34.414,26.68,36,AH,
Nonbleached,W104,,Cohort17,High,20160527,Time3,34.503,27.26,36,AH,
Nonbleached,W104,A031,Cohort13,High,20160527,Time3,60.756,27.15,36,AH,Live coral tissue only on branch tips
Nonbleached,W104,A032,Cohort11,Ambient,20160526,Time3,37.341,25.49,36,AH,
Nonbleached,W104,A033,Cohort12,High,20160527,Time3,69.966,27.07,37,AH,
Nonbleached,W104,A034,Cohort18,Ambient,20160526,Time3,38.769,25.54,36,AH,
Bleached,W103,A035,Cohort17,High,20160527,Time3,37.353,27.2,36,AH,
Bleached,W103,A036,Cohort14,Ambient,20160526,Time3,68.628,26.51,36,AH,
Bleached,W103,A037,Cohort18,Ambient,20160526,Time3,90.705,25.48,36,AH,Small patches of algae attached
Bleached,W103,A038,Cohort11,Ambient,20160526,Time3,136.983,26.04,36,AH,
