Parental.Performance,Parent.ID,Fragment.ID,Cohort,Treatment,Time_20160605_EggVol,Time_20160605_Bun.Num,Time_20160606_EggVol,Time_20160606_Bun.Num,Time_20160607_EggVol,Time_20160607_Bun.Num,Time_20160704_EggVol,Time_20160704_Bun.Num,Time_20160705_EggVol,Time_20160705_Bun.Num,Time_20160706_EggVol,Time_20160706_Bun.Num,Time_20160802_EggVol,Time_20160802_Bun.Num,Time_20160803_EggVol,Time_20160803_Bun.Num,Time_20160804_EggVol,Time_20160804_Bun.Num
Nonbleached,W104,A026,Cohort16,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W104,A027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W104,A028,Cohort15,Ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W104,A029,Cohort14,Ambient,NA,NA,NA,NA,NA,NA,NA,3,NA,30,NA,5,NA,NA,NA,NA,NA,NA
Nonbleached,W104,A030,Cohort17,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W104,A031,Cohort13,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W104,A032,Cohort11,Ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W104,A033,Cohort12,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W104,A034,Cohort18,Ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W103,A035,Cohort17,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W103,A036,Cohort14,Ambient,0.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W103,A037,Cohort18,Ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W103,A038,Cohort11,Ambient,0.05,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W103,A039,Cohort16,High,NA,NA,0.003,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W103,A040,Cohort12,High,NA,NA,NA,NA,NA,NA,0.5,5,NA,1,NA,NA,NA,4,NA,NA,NA,NA
Bleached,W103,A041,Cohort13,High,0.5,5,0.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W103,A042,Cohort15,Ambient,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W262,A043,Cohort11,Ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W262,A044,Cohort18,Ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W262,A045,Cohort12,High,NA,NA,NA,NA,0.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W262,A046,Cohort14,Ambient,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W262,A047,Cohort15,Ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W262,A048,Cohort13,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W262,A049,Cohort17,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W262,A050,Cohort16,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W106,A051,Cohort13,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W106,A052,Cohort14,Ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W106,A053,Cohort11,Ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,5,NA,NA,NA,NA,NA,NA
Nonbleached,W106,A054,Cohort12,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W106,A055,Cohort18,Ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W106,A056,Cohort16,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W106,A057,Cohort17,High,NA,NA,NA,5,0.05,5,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Nonbleached,W106,A058,Cohort15,Ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W257,A067,Cohort15,Ambient,0.05,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W257,A068,Cohort14,Ambient,0.05,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W257,A069,Cohort12,High,NA,NA,NA,3,0.05,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W257,A070,Cohort11,Ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W257,A071,Cohort13,High,NA,2,0.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W257,A072,Cohort18,Ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W257,A073,Cohort16,High,0.5,NA,0.05,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W257,A074,Cohort17,High,NA,NA,NA,NA,NA,NA,0.05,5,0.5,5,NA,NA,NA,NA,NA,NA,NA,1
Bleached,W261,A083,Cohort15,Ambient,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W261,A084,Cohort18,Ambient,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W261,A085,Cohort17,High,0.2,5,0.1,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W261,A086,Cohort14,Ambient,NA,NA,NA,NA,NA,NA,0.5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W261,A087,Cohort11,Ambient,NA,NA,NA,5,NA,NA,0.3,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
Bleached,W261,A088,Cohort16,High,NA,NA,NA,NA,NA,NA,0.01,5,NA,50,NA,17,NA,NA,NA,NA,NA,NA
Bleached,W261,A089,Cohort13,High,0.5,5,NA,NA,NA,NA,0.01,5,0.005,5,NA,2,NA,NA,NA,NA,NA,NA
Bleached,W261,A090,Cohort12,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W117,A091,Cohort14,Ambient,NA,NA,NA,NA,NA,NA,0.05,5,1.25,5,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W117,A092,Cohort12,High,NA,NA,NA,NA,0.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
