Parental.Performance,Parent.ID,Fragment.ID,Cohort,Treatment,Date,Time,Fo.Rep1,Fm.Rep1,Yield.Rep1,Fo.Rep2,Fm.Rep2,Yield.Rep2,QC,Rep1.Notes,Rep2.Notes
Nonbleached,W104,A026,Cohort16,High,20160519,19:58,583,1702,0.657,515,1559,0.669,AH,,
Nonbleached,W104,A027,NA,NA,20160519,NA,NA,NA,NA,NA,NA,NA,AH,,
Nonbleached,W104,A028,Cohort15,Ambient,20160519,19:48,513,1352,0.62,604,1639,0.631,AH,,
Nonbleached,W104,A029,Cohort14,Ambient,20160519,19:48,494,1430,0.654,485,1438,0.662,AH,,
Nonbleached,W104,A030,Cohort17,High,20160519,20:19,438,1351,0.675,753,1937,0.611,AH,,
Nonbleached,W104,A031,Cohort13,High,20160519,20:06,294,722,0.592,238,613,0.611,AH,,
Nonbleached,W104,A032,Cohort11,Ambient,20160519,20:33,199,569,0.65,268,748,0.641,AH,,
Nonbleached,W104,A033,Cohort12,High,20160519,20:15,621,1766,0.648,208,570,0.635,AH,,
Nonbleached,W104,A034,Cohort18,Ambient,20160519,20:42,407,958,0.575,380,986,0.614,AH,,
Bleached,W103,A035,Cohort17,High,20160519,20:21,709,2358,0.699,473,1406,0.663,AH,,
Bleached,W103,A036,Cohort14,Ambient,20160519,19:51,653,1874,0.651,755,1948,0.612,AH,,
Bleached,W103,A037,Cohort18,Ambient,20160519,20:41,366,923,0.604,567,1602,0.646,AH,,
Bleached,W103,A038,Cohort11,Ambient,20160519,20:31,460,1434,0.679,798,2159,0.63,AH,,
Bleached,W103,A039,Cohort16,High,20160519,19:54,422,1165,0.637,482,1524,0.683,AH,,
Bleached,W103,A040,Cohort12,High,20160519,20:16,443,1327,0.666,165,557,0.703,AH,,
Bleached,W103,A041,Cohort13,High,20160519,20:08,574,1553,0.63,473,1360,0.652,AH,,
Bleached,W103,A042,Cohort15,Ambient,20160519,19:49,603,1574,0.616,525,1371,0.617,AH,,
Nonbleached,W262,A043,Cohort11,Ambient,20160519,20:29,361,1261,0.713,210,611,0.656,AH,High algal growth,High algal growth
Nonbleached,W262,A044,Cohort18,Ambient,20160519,20:41,478,1382,0.654,502,1486,0.662,AH,,
Nonbleached,W262,A045,Cohort12,High,20160519,20:17,689,1749,0.606,519,1285,0.596,AH,,
Nonbleached,W262,A046,Cohort14,Ambient,20160519,NA,NA,NA,NA,NA,NA,NA,AH,,
Nonbleached,W262,A047,Cohort15,Ambient,20160519,19:52,729,1976,0.631,672,1831,0.632,Ah,,
Nonbleached,W262,A048,Cohort13,High,20160519,NA,NA,NA,NA,NA,NA,NA,AH,,
Nonbleached,W262,A049,Cohort17,High,20160519,20:28,666,1813,0.632,360,1018,0.646,AH,Dying,Dying
Nonbleached,W262,A050,Cohort16,High,20160519,19:56,339,887,0.617,299,934,0.679,AH,,
Nonbleached,W106,A051,Cohort13,High,20160519,20:04,670,1884,0.644,553,1514,0.634,AH,,
Nonbleached,W106,A052,Cohort14,Ambient,20160519,19:45,557,1563,0.643,724,2035,0.644,AH,,
Nonbleached,W106,A053,Cohort11,Ambient,20160519,20:31,621,1936,0.679,613,1784,0.656,AH,,
Nonbleached,W106,A054,Cohort12,High,20160519,20:13,306,993,0.691,596,1503,0.603,AH,,
Nonbleached,W106,A055,Cohort18,Ambient,20160519,20:43,219,676,0.676,236,730,0.676,AH,,
Nonbleached,W106,A056,Cohort16,High,20160519,19:57,739,2001,0.63,290,741,0.608,AH,Dying,Dying
Nonbleached,W106,A057,Cohort17,High,20160519,20:24,603,1672,0.639,261,788,0.668,AH,,
Nonbleached,W106,A058,Cohort15,Ambient,20160519,19:50,268,774,0.653,528,1308,0.596,AH,,
Bleached,W257,A067,Cohort15,Ambient,20160519,19:52,739,2387,0.69,480,1547,0.689,AH,,
Bleached,W257,A068,Cohort14,Ambient,20160519,NA,NA,NA,NA,570,1663,0.657,AH,,
Bleached,W257,A069,Cohort12,High,20160519,20:13,653,1942,0.663,778,2188,0.644,AH,,
Bleached,W257,A070,Cohort11,Ambient,20160519,20:32,661,2137,0.69,547,1563,0.65,AH,,
Bleached,W257,A071,Cohort13,High,20160519,20:03,228,754,0.697,644,1963,0.671,AH,,
Bleached,W257,A072,Cohort18,Ambient,20160519,NA,NA,NA,NA,NA,NA,NA,AH,,
Bleached,W257,A073,Cohort16,High,20160519,19:55,606,1952,0.689,285,980,0.709,AH,,
Bleached,W257,A074,Cohort17,High,20160519,20:25,533,1788,0.701,431,1425,0.697,AH,Patchy,Patchy
Bleached,W261,A083,Cohort15,Ambient,20160519,19:51,685,2033,0.663,535,1647,0.695,AH,,
Bleached,W261,A084,Cohort18,Ambient,20160519,20:38,806,2286,0.647,683,2019,0.661,AH,,
Bleached,W261,A085,Cohort17,High,20160519,20:18,433,1183,0.633,477,1490,0.679,AH,,
Bleached,W261,A086,Cohort14,Ambient,20160519,19:45,615,2004,0.693,518,1617,0.679,AH,,
Bleached,W261,A087,Cohort11,Ambient,20160519,20:34,753,2247,0.664,661,2088,0.683,AH,,
Bleached,W261,A088,Cohort16,High,20160519,19:45,665,1817,0.634,601,1610,0.626,AH,,
Bleached,W261,A089,Cohort13,High,20160519,20:08,566,1745,0.675,488,1473,0.668,AH,,
Bleached,W261,A090,Cohort12,High,20160519,20:16,609,1922,0.683,281,802,0.649,AH,,
Bleached,W117,A091,Cohort14,Ambient,20160519,19:45,577,1844,0.687,523,1440,0.636,AH,,
Bleached,W117,A092,Cohort12,High,20160519,20:12,297,805,0.631,207,458,0.548,AH,,
Bleached,W117,A093,Cohort17,High,20160519,20:20,549,1697,0.676,593,1773,0.665,AH,,
Bleached,W117,A094,Cohort18,Ambient,20160519,20:43,560,1786,0.686,459,1383,0.668,AH,,
Bleached,W117,A095,Cohort11,Ambient,20160519,20:37,462,1287,0.641,528,1656,0.681,AH,,
Bleached,W117,A096,Cohort15,Ambient,20160519,19:53,578,1588,0.636,425,1186,0.641,AH,,
Bleached,W117,A097,Cohort13,High,20160519,10:09,507,1445,0.649,606,1606,0.622,AH,,
Bleached,W117,A098,Cohort16,High,20160519,19:56,559,1659,0.663,522,1544,0.661,AH,,
Bleached,W117,A099,NA,NA,20160519,NA,NA,NA,NA,NA,NA,NA,AH,,
Nonbleached,W118,A100,Cohort13,High,20160519,10:05,168,520,0.676,672,1816,0.629,AH,,
Nonbleached,W118,A101,Cohort16,High,20160519,19:55,462,1356,0.659,426,1405,0.696,AH,,
Nonbleached,W118,A102,Cohort17,High,20160519,20:22,696,1761,0.604,707,1822,0.611,AH,,
Nonbleached,W118,A103,Cohort14,Ambient,20160519,19:45,585,1477,0.604,532,1355,0.607,AH,,
Nonbleached,W118,A104,Cohort15,Ambient,20160519,19:49,668,1756,0.619,710,1830,0.612,AH,,
Nonbleached,W118,A105,Cohort11,Ambient,20160519,20:33,505,1346,0.624,306,863,0.645,AH,,
Nonbleached,W118,A106,Cohort12,High,20160519,20:17,884,2275,0.611,555,1435,0.613,AH,,
Nonbleached,W118,A107,Cohort18,Ambient,20160519,20:38,864,2417,0.642,599,1631,0.632,AH,,
Bleached,W269,A108,Cohort13,High,20160519,20:07,650,1938,0.664,372,1004,0.629,AH,,
Bleached,W269,A109,Cohort15,Ambient,20160519,19:50,601,1479,0.593,540,1313,0.588,AH,,
Bleached,W269,A110,Cohort11,Ambient,20160519,20:30,497,1620,0.693,289,931,0.689,AH,,
Bleached,W269,A111,Cohort16,High,20160519,19:57,640,1795,0.643,406,1344,0.697,AH,,
Bleached,W269,A112,NA,NA,20160519,NA,NA,NA,NA,NA,NA,NA,AH,,
Bleached,W269,A113,Cohort14,Ambient,20160519,19:45,674,1841,0.633,506,1284,0.605,AH,,
Bleached,W269,A114,Cohort18,Ambient,20160519,20:45,523,1687,0.689,585,1737,0.663,AH,,
Bleached,W269,A115,Cohort12,High,20160519,20:14,707,2246,0.685,394,1286,0.693,AH,,
Bleached,W269,A116,NA,NA,20160519,NA,NA,NA,NA,NA,NA,NA,AH,,
Nonbleached,W270,A117,NA,NA,20160519,20:20,697,1600,0.564,843,1937,0.564,AH,,
Nonbleached,W270,A118,Cohort11,Ambient,20160519,20:35,207,689,0.699,403,1536,0.737,AH,,
Nonbleached,W270,A119,Cohort14,Ambient,20160519,19:45,413,1337,0.691,578,1856,0.688,AH,,
Nonbleached,W270,A120,Cohort16,High,20160519,19:57,507,1508,0.663,459,1394,0.67,AH,,
Nonbleached,W270,A121,Cohort17,High,20160519,20:25,369,1098,0.663,316,948,0.666,AH,,
Nonbleached,W270,A122,Cohort13,High,20160519,20:06,419,1367,0.693,372,1125,0.669,AH,,
Nonbleached,W270,A123,Cohort12,High,20160519,20:17,325,1043,0.688,573,1908,0.699,AH,,
Nonbleached,W270,A124,Cohort18,Ambient,20160519,20:38,414,1049,0.605,488,1296,0.623,AH,,
Nonbleached,W270,A125,Cohort15,Ambient,20160519,19:51,577,1785,0.676,396,1176,0.664,AH,,
