Parental.Performance,Parent.ID,Fragment.ID,Cohort,Treatment,Date,Time,Fo.Rep1,Fm.Rep1,Yield.Rep1,Fo.Rep2,Fm.Rep2,Yield.Rep2,QC,Rep1.Notes,Rep2.Notes
Nonbleached,W104,A026,Cohort16,High,20160324,20:50,346,1067,0.675,330,946,0.651,BL,,
Nonbleached,W104,A027,NA,NA,20160324,NA,NA,NA,NA,NA,NA,NA,BL,,
Nonbleached,W104,A028,Cohort15,Ambient,20160324,20:32,350,1049,0.666,344,1104,0.688,BL,,
Nonbleached,W104,A029,Cohort14,Ambient,20160324,20:22,300,1012,0.703,345,1093,0.684,BL,,
Nonbleached,W104,A030,Cohort17,High,20160324,20:40,356,1145,0.689,265,896,0.704,BL,,
Nonbleached,W104,A031,Cohort13,High,20160324,20:14,437,1302,0.664,256,935,0.726,BL,,
Nonbleached,W104,A032,Cohort11,Ambient,20160324,20:00,297,990,0.7,377,1208,0.687,BL,,
Nonbleached,W104,A033,Cohort12,High,20160324,20:05,469,1160,0.596,376,1183,0.682,BL,,
Nonbleached,W104,A034,Cohort18,Ambient,20160324,19:53,406,1458,0.721,392,1100,0.643,BL,,
Bleached,W103,A035,Cohort17,High,20160324,20:39,367,1218,0.698,364,1178,0.691,BL,,
Bleached,W103,A036,Cohort14,Ambient,20160324,20:23,404,1366,0.704,383,1458,0.737,BL,,
Bleached,W103,A037,Cohort18,Ambient,20160324,19:59,336,1102,0.695,437,1400,0.687,BL,,
Bleached,W103,A038,Cohort11,Ambient,20160324,20:01,451,1538,0.706,411,1502,0.726,BL,,
Bleached,W103,A039,Cohort16,High,20160324,20:48,415,1426,0.708,337,1173,0.712,BL,,
Bleached,W103,A040,Cohort12,High,20160324,20:07,382,1359,0.718,402,1282,0.686,BL,,
Bleached,W103,A041,Cohort13,High,20160324,20:12,467,1642,0.716,399,1339,0.702,BL,,
Bleached,W103,A042,Cohort15,Ambient,20160324,20:31,305,1002,0.695,280,723,0.612,BL,,
Nonbleached,W262,A043,Cohort11,Ambient,20160324,20:01,315,1058,0.702,345,1014,0.659,BL,,
Nonbleached,W262,A044,Cohort18,Ambient,20160324,19:50,368,1163,0.683,499,1670,0.701,BL,,
Nonbleached,W262,A045,Cohort12,High,20160324,20:10,369,1000,0.632,550,1527,0.639,BL,,
Nonbleached,W262,A046,Cohort14,Ambient,20160324,20:24,414,1173,0.647,319,841,0.62,BL,,
Nonbleached,W262,A047,Cohort15,Ambient,20160324,20:30,371,978,0.62,380,1136,0.665,BL,,
Nonbleached,W262,A048,Cohort13,High,20160324,20:15,350,1019,0.657,282,1229,0.771,BL,,
Nonbleached,W262,A049,Cohort17,High,20160324,20:43,407,1330,0.693,420,1274,0.67,BL,,
Nonbleached,W262,A050,Cohort16,High,20160324,20:51,266,884,0.699,352,1016,0.653,BL,,
Nonbleached,W106,A051,Cohort13,High,20160324,20:12,317,1021,0.689,311,856,0.636,BL,,
Nonbleached,W106,A052,Cohort14,Ambient,20160324,20:25,301,950,0.683,449,1244,0.639,BL,,
Nonbleached,W106,A053,Cohort11,Ambient,20160324,20:02,436,1243,0.649,401,1361,0.705,BL,,
Nonbleached,W106,A054,Cohort12,High,20160324,20:06,303,853,0.644,365,1188,0.692,BL,,
Nonbleached,W106,A055,Cohort18,Ambient,20160324,19:52,386,1104,0.65,565,929,NA,BL,,Dead? 0.391
Nonbleached,W106,A056,Cohort16,High,20160324,20:49,263,931,0.717,553,1298,0.573,BL,,
Nonbleached,W106,A057,Cohort17,High,20160324,20:42,456,1266,0.639,464,1265,0.633,BL,,
Nonbleached,W106,A058,Cohort15,Ambient,20160324,20:31,341,1098,0.689,328,1102,0.702,BL,,
