Parental.Performance,Parent.Treatment,Larval.Treatment,Group,Egg.Sperm.Cross,Egg.Donor,Cross.Date,Count.Date,Time.Point,Conical,Tripour.vol,Sample.vol,Count1,Count2,Count3
Bleached,High,Ambient,BCH-High-Amb,73x41,Coral.73,6/5/16,6/7/16,Time1,S8,40,0.2,10,11,11
Bleached,High,Ambient,BCH-High-Amb,41x73,Coral.41,6/5/16,6/7/16,Time1,S9,70,0.2,3,4,3
Bleached,High,High,BCH-High-High,73x41,Coral.73,6/5/16,6/7/16,Time1,S26,40,0.2,3,5,3
Bleached,High,High,BCH-High-High,41x73,Coral.41,6/5/16,6/7/16,Time1,S25,45,0.2,5,5,6
Bleached,High,Ambient,BCH-High-Amb,111x85,Coral.111,6/6/16,6/8/16,Time1,S7,35,0.2,1,1,1
Bleached,High,Ambient,BCH-High-Amb,85x111,Coral.85,6/6/16,6/8/16,Time1,S11,55,55,29,32,29
Bleached,High,Ambient,BCH-High-Amb,41x71,Coral.41,6/6/16,6/8/16,Time1,S19,60,0.2,2,1,1
Bleached,High,Ambient,BCH-High-Amb,71x41,Coral.71,6/6/16,6/8/16,Time1,S20,25,25,22,22,20
Bleached,High,High,BCH-High-High,111x85,Coral.111,6/6/16,6/8/16,Time1,S27,25,0.2,1,0,1
Bleached,High,High,BCH-High-High,85x111,Coral.85,6/6/16,6/8/16,Time1,S30,35,35,75,81,76
Bleached,High,High,BCH-High-High,41x71,Coral.41,6/6/16,6/8/16,Time1,S37,37,0.2,1,2,4
Bleached,High,High,BCH-High-High,71x41,Coral.71,6/6/16,6/8/16,Time1,S38,40,40,65,65,63
Non-Bleached,High,Ambient,UNBCH-High-Amb,45x100,Coral.45,6/7/16,6/9/16,Time1,S13,25,0.2,6,6,8
Non-Bleached,High,Ambient,UNBCH-High-Amb,100x45,Coral.100,6/7/16,6/9/16,Time1,S16,30,0.2,0,3,2
Non-Bleached,High,High,UNBCH-High-High,45x100,Coral.45,6/7/16,6/9/16,Time1,S39,70,0.2,2,0,0
Non-Bleached,High,High,UNBCH-High-High,100x45,Coral.100,6/7/16,6/9/16,Time1,S40,27,27,51,51,49
Bleached,High,Ambient,BCH-High-Amb,73x41,Coral.73,6/5/16,6/13/16,Time2,S8,30,30,97,99,103
Bleached,High,Ambient,BCH-High-Amb,41x73,Coral.41,6/5/16,6/13/16,Time2,S9,37,0.2,3,2,3
Bleached,High,High,BCH-High-High,73x41,Coral.73,6/5/16,6/13/16,Time2,S26,20,20,5,4,5
Bleached,High,High,BCH-High-High,41x73,Coral.41,6/5/16,6/13/16,Time2,S25,60,0.2,1,0,1
Bleached,High,Ambient,BCH-High-Amb,111x85,Coral.111,6/6/16,6/14/16,Time2,S7,40,40,1,1,1
Bleached,High,Ambient,BCH-High-Amb,85x111,Coral.85,6/6/16,6/14/16,Time2,S11,40,40,2,2,2
Bleached,High,Ambient,BCH-High-Amb,41x71,Coral.41,6/6/16,6/14/16,Time2,S19,40,0.2,0,1,2
Bleached,High,Ambient,BCH-High-Amb,71x41,Coral.71,6/6/16,6/14/16,Time2,S20,35,35,0,0,0
Bleached,High,High,BCH-High-High,111x85,Coral.111,6/6/16,6/14/16,Time2,S27,45,45,41,35,39
Bleached,High,High,BCH-High-High,85x111,Coral.85,6/6/16,6/14/16,Time2,S30,20,20,1,1,1
Bleached,High,High,BCH-High-High,41x71,Coral.41,6/6/16,6/14/16,Time2,S37,50,50,3,3,3
Bleached,High,High,BCH-High-High,71x41,Coral.71,6/6/16,6/14/16,Time2,S38,55,55,0,0,0
Non-Bleached,High,Ambient,UNBCH-High-Amb,45x100,Coral.45,6/7/16,6/15/16,Time2,S13,40,40,13,13,13
Non-Bleached,High,Ambient,UNBCH-High-Amb,100x45,Coral.100,6/7/16,6/15/16,Time2,S16,40,40,30,30,30
Non-Bleached,High,High,UNBCH-High-High,45x100,Coral.45,6/7/16,6/15/16,Time2,S39,40,40,17,17,17
Non-Bleached,High,High,UNBCH-High-High,100x45,Coral.100,6/7/16,6/15/16,Time2,S40,30,30,3,3,3
