* Block Type = 96well,,,,,,,,,,,,,,,,,,,,
* Chemistry = TAQMAN,,,,,,,,,,,,,,,,,,,,
* Experiment File Name = E:\TaqMan_Std.eds,,,,,,,,,,,,,,,,,,,,
* Experiment Run End Time = Not Started,,,,,,,,,,,,,,,,,,,,
* Instrument Type = steponeplus,,,,,,,,,,,,,,,,,,,,
* Passive Reference = ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
[Results],,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,EXPFAIL,THOLDFAIL
B8,103A,C,UNKNOWN,VIC,NFQ-MGB,25.4875,25.4756,0.0168,,,,TRUE,0.0123,TRUE,3,24,,N,N,Y
B8,103A,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.1933,TRUE,3,39,,N,N,Y
B9,103H,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,23,,N,N,N
B10,103H,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,23,,N,N,N
B11,103H,C,UNKNOWN,VIC,NFQ-MGB,25.0017,25.2263,0.3176,,,,TRUE,0.0123,TRUE,3,24,,N,N,Y
B11,103H,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.1933,TRUE,3,39,,N,N,Y
B12,103H,C,UNKNOWN,VIC,NFQ-MGB,25.4509,25.2263,0.3176,,,,TRUE,0.0123,TRUE,3,24,,N,N,Y
B12,103H,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.1933,TRUE,3,39,,N,N,Y
C1,104,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,34,,N,N,N
C2,104,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,32,,N,N,N
C3,104,C,UNKNOWN,VIC,NFQ-MGB,36.6881,36.6881,,,,,TRUE,0.0123,TRUE,3,34,,N,N,N
C3,104,D,UNKNOWN,FAM,NFQ-MGB,34.6899,34.6899,,,,,TRUE,0.1933,TRUE,3,29,,N,N,N
C4,104,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,36.6881,,,,,TRUE,0.0123,TRUE,3,39,,N,Y,Y
C4,104,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,34.6899,,,,,TRUE,0.1933,TRUE,3,39,,N,Y,Y
C5,104A,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,26,,N,N,N
C6,104A,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,27,,N,N,N
C7,104A,C,UNKNOWN,VIC,NFQ-MGB,32.3946,32.4371,0.0601,,,,TRUE,0.0123,TRUE,3,30,,N,N,N
C7,104A,D,UNKNOWN,FAM,NFQ-MGB,31.4711,31.593,0.1724,,,,TRUE,0.1933,TRUE,3,26,,N,N,N
C8,104A,C,UNKNOWN,VIC,NFQ-MGB,32.4796,32.4371,0.0601,,,,TRUE,0.0123,TRUE,3,30,,N,N,N
C8,104A,D,UNKNOWN,FAM,NFQ-MGB,31.7149,31.593,0.1724,,,,TRUE,0.1933,TRUE,3,26,,N,N,N
C9,104H,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,28,,N,N,N
C10,104H,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,28,,N,N,N
C11,104H,C,UNKNOWN,VIC,NFQ-MGB,32.6356,32.767,0.1859,,,,TRUE,0.0123,TRUE,3,31,,N,N,N
C11,104H,D,UNKNOWN,FAM,NFQ-MGB,31.7565,31.8998,0.2026,,,,TRUE,0.1933,TRUE,3,26,,N,N,N
C12,104H,C,UNKNOWN,VIC,NFQ-MGB,32.8985,32.767,0.1859,,,,TRUE,0.0123,TRUE,3,31,,N,N,N
C12,104H,D,UNKNOWN,FAM,NFQ-MGB,32.0431,31.8998,0.2026,,,,TRUE,0.1933,TRUE,3,26,,N,N,N
D1,106,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,33,,N,N,N
D2,106,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,30,,N,N,N
D3,106,C,UNKNOWN,VIC,NFQ-MGB,31.2164,31.0572,0.2252,,,,TRUE,0.0123,TRUE,3,30,,N,N,N
D3,106,D,UNKNOWN,FAM,NFQ-MGB,34.6941,34.6268,0.0951,,,,TRUE,0.1933,TRUE,3,29,,N,N,N
D4,106,C,UNKNOWN,VIC,NFQ-MGB,30.8979,31.0572,0.2252,,,,TRUE,0.0123,TRUE,3,29,,N,N,N
D4,106,D,UNKNOWN,FAM,NFQ-MGB,34.5596,34.6268,0.0951,,,,TRUE,0.1933,TRUE,3,29,,N,N,N
D5,106A,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,25,,N,N,N
D6,106A,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,24,,N,N,N
D7,106A,C,UNKNOWN,VIC,NFQ-MGB,31.4327,31.3973,0.05,,,,TRUE,0.0123,TRUE,3,30,,N,N,N
D7,106A,D,UNKNOWN,FAM,NFQ-MGB,31.6651,31.736,0.1002,,,,TRUE,0.1933,TRUE,3,26,,N,N,N
D8,106A,C,UNKNOWN,VIC,NFQ-MGB,31.3619,31.3973,0.05,,,,TRUE,0.0123,TRUE,3,30,,N,N,N
D8,106A,D,UNKNOWN,FAM,NFQ-MGB,31.8069,31.736,0.1002,,,,TRUE,0.1933,TRUE,3,26,,N,N,N
D9,106H,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,25,,N,N,N
D10,106H,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,25,,N,N,N
D11,106H,C,UNKNOWN,VIC,NFQ-MGB,32.0086,32.333,0.4587,,,,TRUE,0.0123,TRUE,3,31,,Y,N,N
D11,106H,D,UNKNOWN,FAM,NFQ-MGB,31.1572,31.6491,0.6957,,,,TRUE,0.1933,TRUE,3,26,,Y,N,N
D12,106H,C,UNKNOWN,VIC,NFQ-MGB,32.6573,32.333,0.4587,,,,TRUE,0.0123,TRUE,3,31,,Y,N,N
D12,106H,D,UNKNOWN,FAM,NFQ-MGB,32.141,31.6491,0.6957,,,,TRUE,0.1933,TRUE,3,27,,Y,N,N
E1,257,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,33,,N,N,N
E2,257,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,32,,N,N,N
E3,257,C,UNKNOWN,VIC,NFQ-MGB,28.1421,28.1523,0.0144,,,,TRUE,0.0123,TRUE,3,26,,N,N,Y
E3,257,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.1933,TRUE,3,39,,N,N,Y
E4,257,C,UNKNOWN,VIC,NFQ-MGB,28.1625,28.1523,0.0144,,,,TRUE,0.0123,TRUE,3,27,,N,N,Y
E4,257,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.1933,TRUE,3,39,,N,N,Y
E5,257A,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,28,,N,N,N
E6,257A,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,27,,N,N,N
E7,257A,C,UNKNOWN,VIC,NFQ-MGB,25.6097,25.5618,0.0677,,,,TRUE,0.0123,TRUE,3,24,,N,N,Y
E7,257A,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.1933,TRUE,3,39,,N,N,Y
E8,257A,C,UNKNOWN,VIC,NFQ-MGB,25.5139,25.5618,0.0677,,,,TRUE,0.0123,TRUE,3,24,,N,N,Y
E8,257A,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.1933,TRUE,3,39,,N,N,Y
E9,257H,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,26,,N,N,N
E10,257H,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,25,,N,N,N
E11,257H,C,UNKNOWN,VIC,NFQ-MGB,26.0131,26.0005,0.0177,,,,TRUE,0.0123,TRUE,3,24,,N,N,Y
E11,257H,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.1933,TRUE,3,39,,N,N,Y
E12,257H,C,UNKNOWN,VIC,NFQ-MGB,25.988,26.0005,0.0177,,,,TRUE,0.0123,TRUE,3,24,,N,N,N
E12,257H,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.1933,TRUE,3,35,,N,N,N
F1,261,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,32,,N,N,N
F2,261,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,32,,N,N,N
F3,261,C,UNKNOWN,VIC,NFQ-MGB,28.1756,28.381,0.2904,,,,TRUE,0.0123,TRUE,3,27,,N,N,Y
F3,261,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.1933,TRUE,3,39,,N,N,Y
F4,261,C,UNKNOWN,VIC,NFQ-MGB,28.5863,28.381,0.2904,,,,TRUE,0.0123,TRUE,3,27,,N,N,Y
F4,261,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.1933,TRUE,3,39,,N,N,Y
F5,261A,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,24,,N,N,N
F6,261A,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,24,,N,N,N
F7,261A,C,UNKNOWN,VIC,NFQ-MGB,25.1314,25.0844,0.0664,,,,TRUE,0.0123,TRUE,3,24,,N,N,Y
F7,261A,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.1933,TRUE,3,39,,N,N,Y
F8,261A,C,UNKNOWN,VIC,NFQ-MGB,25.0375,25.0844,0.0664,,,,TRUE,0.0123,TRUE,3,23,,N,N,Y
F8,261A,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.1933,TRUE,3,39,,N,N,Y
F9,261H,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,28,,N,N,N
F10,261H,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,28,,N,N,N
F11,261H,C,UNKNOWN,VIC,NFQ-MGB,26.7744,26.7015,0.103,,,,TRUE,0.0123,TRUE,3,25,,N,N,N
F11,261H,D,UNKNOWN,FAM,NFQ-MGB,34.1319,34.2152,0.1179,,,,TRUE,0.1933,TRUE,3,28,,N,N,N
F12,261H,C,UNKNOWN,VIC,NFQ-MGB,26.6287,26.7015,0.103,,,,TRUE,0.0123,TRUE,3,25,,N,N,N
F12,261H,D,UNKNOWN,FAM,NFQ-MGB,34.2985,34.2152,0.1179,,,,TRUE,0.1933,TRUE,3,29,,N,N,N
G1,NTC,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,39,,N,N,Y
G2,NTC,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,39,,N,N,Y
G3,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.0123,TRUE,3,39,,N,Y,Y
G3,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.1933,TRUE,3,39,,N,Y,Y
G4,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.0123,TRUE,3,39,,N,N,Y
G4,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.1933,TRUE,3,39,,N,N,Y
G5,POS,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,32,,N,N,N
G6,POS,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,33,,N,N,N
G7,POS,C,UNKNOWN,VIC,NFQ-MGB,31.1753,31.1741,0.0016,,,,TRUE,0.0123,TRUE,3,29,,N,N,N
G7,POS,D,UNKNOWN,FAM,NFQ-MGB,34.708,34.8396,0.1861,,,,TRUE,0.1933,TRUE,3,29,,N,N,N
G8,POS,C,UNKNOWN,VIC,NFQ-MGB,31.173,31.1741,0.0016,,,,TRUE,0.0123,TRUE,3,29,,N,N,N
G8,POS,D,UNKNOWN,FAM,NFQ-MGB,34.9712,34.8396,0.1861,,,,TRUE,0.1933,TRUE,3,30,,N,N,N
G9,,,,,,,,,,,,,,,,,,N,N,N
G10,,,,,,,,,,,,,,,,,,N,N,N
G11,,,,,,,,,,,,,,,,,,N,N,N
G12,,,,,,,,,,,,,,,,,,N,N,N
H1,,,,,,,,,,,,,,,,,,N,N,N
H2,,,,,,,,,,,,,,,,,,N,N,N
H3,,,,,,,,,,,,,,,,,,N,N,N
H4,,,,,,,,,,,,,,,,,,N,N,N
H5,,,,,,,,,,,,,,,,,,N,N,N
H6,,,,,,,,,,,,,,,,,,N,N,N
H7,,,,,,,,,,,,,,,,,,N,N,N
H8,,,,,,,,,,,,,,,,,,N,N,N
H9,,,,,,,,,,,,,,,,,,N,N,N
H10,,,,,,,,,,,,,,,,,,N,N,N
H11,,,,,,,,,,,,,,,,,,N,N,N
H12,,,,,,,,,,,,,,,,,,N,N,N
