Parental.Performance,Parent.Treatment,Larval.Treatment,Group,Egg.Sperm.Cross,Egg.Donor,Cross.Date,Count.Date,Time.Point,Month,Conical,Tripour.vol,Sample.vol,Count1,Count2,Count3
Bleached,High,Ambient,BCH-High-Amb,73x41,Coral.73,6/5/16,6/7/16,Time1,June,S8,40,0.2,10,11,11
Bleached,High,Ambient,BCH-High-Amb,41x73,Coral.41,6/5/16,6/7/16,Time1,June,S9,70,0.2,3,4,3
Bleached,High,High,BCH-High-High,73x41,Coral.73,6/5/16,6/7/16,Time1,June,S26,40,0.2,3,5,3
Bleached,High,High,BCH-High-High,41x73,Coral.41,6/5/16,6/7/16,Time1,June,S25,45,0.2,5,5,6
Bleached,High,Ambient,BCH-High-Amb,111x85,Coral.111,6/6/16,6/8/16,Time1,June,S7,35,0.2,1,1,1
Bleached,High,Ambient,BCH-High-Amb,85x111,Coral.85,6/6/16,6/8/16,Time1,June,S11,55,55,29,32,29
Bleached,High,Ambient,BCH-High-Amb,41x71,Coral.41,6/6/16,6/8/16,Time1,June,S19,60,0.2,2,1,1
Bleached,High,Ambient,BCH-High-Amb,71x41,Coral.71,6/6/16,6/8/16,Time1,June,S20,25,25,22,22,20
Bleached,High,High,BCH-High-High,111x85,Coral.111,6/6/16,6/8/16,Time1,June,S27,25,0.2,1,0,1
Bleached,High,High,BCH-High-High,85x111,Coral.85,6/6/16,6/8/16,Time1,June,S30,35,35,75,81,76
Bleached,High,High,BCH-High-High,41x71,Coral.41,6/6/16,6/8/16,Time1,June,S37,37,0.2,1,2,4
Bleached,High,High,BCH-High-High,71x41,Coral.71,6/6/16,6/8/16,Time1,June,S38,40,40,65,65,63
Non-Bleached,High,Ambient,UNBCH-High-Amb,45x100,Coral.45,6/7/16,6/9/16,Time1,June,S13,25,0.2,6,6,8
Non-Bleached,High,Ambient,UNBCH-High-Amb,100x45,Coral.100,6/7/16,6/9/16,Time1,June,S16,30,0.2,0,3,2
Non-Bleached,High,High,UNBCH-High-High,45x100,Coral.45,6/7/16,6/9/16,Time1,June,S39,70,0.2,2,0,0
Non-Bleached,High,High,UNBCH-High-High,100x45,Coral.100,6/7/16,6/9/16,Time1,June,S40,27,27,51,51,49
Bleached,High,Ambient,BCH-High-Amb,73x41,Coral.73,6/5/16,6/13/16,Time2,June,S8,30,30,97,99,103
Bleached,High,Ambient,BCH-High-Amb,41x73,Coral.41,6/5/16,6/13/16,Time2,June,S9,37,0.2,3,2,3
Bleached,High,High,BCH-High-High,73x41,Coral.73,6/5/16,6/13/16,Time2,June,S26,20,20,5,4,5
Bleached,High,High,BCH-High-High,41x73,Coral.41,6/5/16,6/13/16,Time2,June,S25,60,0.2,1,0,1
Bleached,High,Ambient,BCH-High-Amb,111x85,Coral.111,6/6/16,6/14/16,Time2,June,S7,40,40,1,1,1
Bleached,High,Ambient,BCH-High-Amb,85x111,Coral.85,6/6/16,6/14/16,Time2,June,S11,40,40,2,2,2
Bleached,High,Ambient,BCH-High-Amb,41x71,Coral.41,6/6/16,6/14/16,Time2,June,S19,40,0.2,0,1,2
Bleached,High,Ambient,BCH-High-Amb,71x41,Coral.71,6/6/16,6/14/16,Time2,June,S20,35,35,0,0,0
Bleached,High,High,BCH-High-High,111x85,Coral.111,6/6/16,6/14/16,Time2,June,S27,45,45,41,35,39
Bleached,High,High,BCH-High-High,85x111,Coral.85,6/6/16,6/14/16,Time2,June,S30,20,20,1,1,1
Bleached,High,High,BCH-High-High,41x71,Coral.41,6/6/16,6/14/16,Time2,June,S37,50,50,3,3,3
Bleached,High,High,BCH-High-High,71x41,Coral.71,6/6/16,6/14/16,Time2,June,S38,55,55,0,0,0
Non-Bleached,High,Ambient,UNBCH-High-Amb,45x100,Coral.45,6/7/16,6/15/16,Time2,June,S13,40,40,13,13,13
Non-Bleached,High,Ambient,UNBCH-High-Amb,100x45,Coral.100,6/7/16,6/15/16,Time2,June,S16,40,40,30,30,30
Non-Bleached,High,High,UNBCH-High-High,45x100,Coral.45,6/7/16,6/15/16,Time2,June,S39,40,40,17,17,17
Non-Bleached,High,High,UNBCH-High-High,100x45,Coral.100,6/7/16,6/15/16,Time2,June,S40,30,30,3,3,3
Bleached,Ambient,Ambient,BCH-Amb-Amb,94x110,Coral.94,7/4/16,7/6/16,Time1,July,S1,40,0.2,9,8,9
Bleached,Ambient,Ambient,BCH-Amb-Amb,110x94,Coral.110,7/4/16,7/6/16,Time1,July,S2,80,0.2,30,27,16
Bleached,High,Ambient,BCH-High-Amb,93x108,Coral.93,7/4/16,7/6/16,Time1,July,S3,50,0.2,9,14,7
Bleached,High,Ambient,BCH-High-Amb,108x93,Coral.108,7/4/16,7/6/16,Time1,July,S4,70,0.2,10,9,11
Bleached,Ambient,High,BCH-Amb-High,110x94,Coral.111,7/4/16,7/6/16,Time1,July,S26,85,0.2,8,8,9
Bleached,High,High,BCH-High-High,93x108,Coral.93,7/4/16,7/6/16,Time1,July,S27,75,0.2,13,7,12
Bleached,High,High,BCH-High-High,108x93,Coral.108,7/4/16,7/6/16,Time1,July,S28,70,0.2,11,12,12
Bleached,High,Ambient,BCH-High-Amb,74x98,Coral.74,7/5/16,7/7/16,Time1,July,S13,55,0.2,13,6,7
Bleached,High,Ambient,BCH-High-Amb,98x74,Coral.98,7/5/16,7/7/16,Time1,July,S14,20,0.2,11,7,3
Non-Bleached,Ambient,Ambient,UNBCH-Amb-Amb,107x118,Coral.107,7/5/16,7/7/16,Time1,July,S15,60,0.2,5,14,4
Non-Bleached,Ambient,Ambient,UNBCH-Amb-Amb,118x107,Coral.118,7/5/16,7/7/16,Time1,July,S16,40,0.2,12,5,3
Non-Bleached,Ambient,High,UNBCH-Amb-High,107x118,Coral.107,7/5/16,7/7/16,Time1,July,S31,50,0.2,3,5,4
Non-Bleached,Ambient,High,UNBCH-Amb-High,118x107,Coral.118,7/5/16,7/7/16,Time1,July,S32,70,0.2,1,2,2
Bleached,High,High,BCH-High-High,74x98,Coral.74,7/5/16,7/7/16,Time1,July,S33,50,0.2,8,2,6
Bleached,High,High,BCH-High-High,98x74,Coral.98,7/5/16,7/7/16,Time1,July,S34,40,0.2,6,7,6
Bleached,Ambient,Ambient,BCH-Amb-Amb,94x110,Coral.94,7/4/16,7/11/16,Time2,July,S1,40,40,11,11,11
Bleached,Ambient,Ambient,BCH-Amb-Amb,110x94,Coral.110,7/4/16,7/11/16,Time2,July,S2,60,0.2,4,4,2
Bleached,High,Ambient,BCH-High-Amb,93x108,Coral.93,7/4/16,7/11/16,Time2,July,S3,40,40,37,37,37
Bleached,High,Ambient,BCH-High-Amb,108x93,Coral.108,7/4/16,7/11/16,Time2,July,S4,40,40,70,73,69
Bleached,Ambient,High,BCH-Amb-High,110x94,Coral.111,7/4/16,7/11/16,Time2,July,S26,40,40,117,117,118
Bleached,High,High,BCH-High-High,93x108,Coral.93,7/4/16,7/11/16,Time2,July,S27,40,40,45,46,46
Bleached,High,High,BCH-High-High,108x93,Coral.108,7/4/16,7/11/16,Time2,July,S28,70,0.2,5,5,6
Bleached,High,Ambient,BCH-High-Amb,74x98,Coral.74,7/5/16,7/12/16,Time2,July,S13,20,20,15,15,15
Bleached,High,Ambient,BCH-High-Amb,98x74,Coral.98,7/5/16,7/12/16,Time2,July,S14,50,50,0,0,0
Non-Bleached,Ambient,Ambient,UNBCH-Amb-Amb,107x118,Coral.107,7/5/16,7/12/16,Time2,July,S15,60,60,4,4,4
