Parental.Performance,Parent.ID,Fragment.ID,Cohort,Treatment,Date,Time,Fo.Rep1,Fm.Rep1,Yield.Rep1,Fo.Rep2,Fm.Rep2,Yield.Rep2,QC,Rep1.Notes,Rep2.Notes
Nonbleached,W104,A026,Cohort16,High,20160407,19:46,332,1038,0.68,326,994,0.672,SM,,
Nonbleached,W104,A027,NA,NA,20160407,NA,NA,NA,NA,NA,NA,NA,SM,,
Nonbleached,W104,A028,Cohort15,Ambient,20160407,20:10,394,1179,0.665,291,904,0.678,SM,,
Nonbleached,W104,A029,Cohort14,Ambient,20160407,20:26,202,700,0.711,309,1044,0.704,SM,,
Nonbleached,W104,A030,Cohort17,High,20160407,19:52,290,951,0.695,303,923,0.671,SM,,
Nonbleached,W104,A031,Cohort13,High,20160407,22:33,347,1091,0.681,242,831,0.708,SM,,
Nonbleached,W104,A032,Cohort11,Ambient,20160407,20:50,325,1094,0.702,307,1037,0.703,SM,,
Nonbleached,W104,A033,Cohort12,High,20160407,20:58,325,960,0.661,270,839,0.678,SM,,
Nonbleached,W104,A034,Cohort18,Ambient,20160407,20:39,313,926,0.661,228,714,0.68,SM,,
Bleached,W103,A035,Cohort17,High,20160407,19:58,286,1041,0.725,321,1145,0.719,SM,,
Bleached,W103,A036,Cohort14,Ambient,20160407,20:19,395,1356,0.708,387,1417,0.726,SM,,
Bleached,W103,A037,Cohort18,Ambient,20160407,20:41,324,1267,0.744,273,1050,0.74,SM,,
Bleached,W103,A038,Cohort11,Ambient,20160407,20:54,253,1038,0.756,396,1247,0.682,SM,,
Bleached,W103,A039,Cohort16,High,20160407,19:47,296,1079,0.725,429,1338,0.679,SM,,
Bleached,W103,A040,Cohort12,High,20160407,21:01,331,1244,0.733,238,952,0.75,SM,,
Bleached,W103,A041,Cohort13,High,20160407,20:29,442,1571,0.718,254,996,0.744,SM,,
Bleached,W103,A042,Cohort15,Ambient,20160407,20:03,380,1239,0.693,302,975,0.69,SM,,
Nonbleached,W262,A043,Cohort11,Ambient,20160407,20:52,165,529,0.688,230,645,0.643,SM,,
Nonbleached,W262,A044,Cohort18,Ambient,20160407,20:42,376,976,0.614,456,1189,0.616,SM,,
Nonbleached,W262,A045,Cohort12,High,20160407,21:02,279,886,0.685,338,1110,0.695,SM,,
Nonbleached,W262,A046,Cohort14,Ambient,20160407,20:25,208,706,0.705,152,645,0.764,SM,,
Nonbleached,W262,A047,Cohort15,Ambient,20160407,20:07,365,1116,0.672,368,1182,0.688,SM,,
Nonbleached,W262,A048,Cohort13,High,20160407,20:37,439,1121,0.608,448,1321,0.66,SM,,
Nonbleached,W262,A049,Cohort17,High,20160407,20:02,398,1316,0.697,387,1344,0.712,SM,,
Nonbleached,W262,A050,Cohort16,High,20160407,19:49,239,818,0.707,429,1511,0.716,SM,,
Nonbleached,W106,A051,Cohort13,High,20160407,20:32,357,1097,0.674,266,1005,0.735,SM,,
Nonbleached,W106,A052,Cohort14,Ambient,20160407,20:20,417,1216,0.657,332,1108,0.7,SM,,
Nonbleached,W106,A053,Cohort11,Ambient,20160407,20:50,472,1397,0.662,315,1023,0.692,SM,,
Nonbleached,W106,A054,Cohort12,High,20160407,20:59,181,579,0.687,432,1371,0.684,SM,,
Nonbleached,W106,A055,Cohort18,Ambient,20160407,20:44,226,730,0.69,178,651,0.726,SM,,
Nonbleached,W106,A056,Cohort16,High,20160407,19:45,493,1361,0.637,490,1362,0.64,SM,,
Nonbleached,W106,A057,Cohort17,High,20160407,19:54,389,1115,0.651,430,1310,0.671,SM,,
Nonbleached,W106,A058,Cohort15,Ambient,20160407,20:16,347,1084,0.679,282,1000,0.718,SM,,
Bleached,W257,A067,Cohort15,Ambient,20160407,20:11,371,1347,0.724,244,1437,0.83,SM,,
Bleached,W257,A068,Cohort14,Ambient,20160407,20:21,287,1050,0.726,337,1292,0.739,SM,,
Bleached,W257,A069,Cohort12,High,20160407,20:57,353,1241,0.715,313,1071,0.707,SM,,
Bleached,W257,A070,Cohort11,Ambient,20160407,20:49,370,1311,0.717,359,1312,0.726,SM,,
Bleached,W257,A071,Cohort13,High,20160407,20:36,215,842,0.744,309,1095,0.717,SM,,
Bleached,W257,A072,Cohort18,Ambient,20160407,20:43,190,201,NA,170,530,0.679,SM,Dead? 0.054,
Bleached,W257,A073,Cohort16,High,20160407,19:48,161,621,0.74,358,1281,0.72,SM,,
Bleached,W257,A074,Cohort17,High,20160407,19:06,434,1348,0.678,385,1206,0.68,SM,,
Bleached,W261,A083,Cohort15,Ambient,20160407,20:09,367,1313,0.72,348,1323,0.736,SM,,
Bleached,W261,A084,Cohort18,Ambient,20160407,20:46,329,1152,0.714,190,738,0.742,SM,,
Bleached,W261,A085,Cohort17,High,20160407,19:53,376,1164,0.676,470,1394,0.662,SM,,
Bleached,W261,A086,Cohort14,Ambient,20160407,20:23,374,1306,0.713,465,1579,0.705,SM,,
Bleached,W261,A087,Cohort11,Ambient,20160407,20:53,347,1221,0.715,371,1419,0.738,SM,,
Bleached,W261,A088,Cohort16,High,20160407,19:46,307,959,0.679,364,1174,0.689,SM,,
Bleached,W261,A089,Cohort13,High,20160407,20:28,439,1515,0.71,371,1369,0.728,SM,,
Bleached,W261,A090,Cohort12,High,20160407,20:57,290,1006,0.711,249,773,0.677,SM,,
Bleached,W117,A091,Cohort14,Ambient,20160407,20:20,328,1114,0.705,342,1193,0.713,SM,,
Bleached,W117,A092,Cohort12,High,20160407,20:59,333,1240,0.731,365,1219,0.7,SM,,
Bleached,W117,A093,Cohort17,High,20160407,19:56,280,1040,0.73,314,1215,0.741,SM,,
Bleached,W117,A094,Cohort18,Ambient,20160407,20:40,327,1125,0.709,341,1273,0.732,SM,,
Bleached,W117,A095,Cohort11,Ambient,20160407,20:52,336,1226,0.725,334,1094,0.683,SM,,Yield writing differs from Yield calculated
Bleached,W117,A096,Cohort15,Ambient,20160407,20:14,307,1019,0.698,386,1269,0.695,SM,,
