Parental.Performance,Parent.ID,Fragment.ID,Cohort,Treatment,Date,Time,Fo.Rep1,Fm.Rep1,Yield.Rep1,Fo.Rep2,Fm.Rep2,Yield.Rep2,QC,Time2,Rep1.Notes,Rep2.Notes
Nonbleached,W104,A026,Cohort16,High,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W104,A027,NA,NA,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W104,A028,Cohort15,Ambient,20160811,20:30,652,1828,0.643,625,1793,0.651,HP,21:18,,
Nonbleached,W104,A029,Cohort14,Ambient,20160811,21:04,683,1978,0.654,627,1827,0.656,HP,20:19,,
Nonbleached,W104,A030,Cohort17,High,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W104,A031,Cohort13,High,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W104,A032,Cohort11,Ambient,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W104,A033,Cohort12,High,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W104,A034,Cohort18,Ambient,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Bleached,W103,A035,Cohort17,High,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Bleached,W103,A036,Cohort14,Ambient,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Bleached,W103,A037,Cohort18,Ambient,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Bleached,W103,A038,Cohort11,Ambient,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Bleached,W103,A039,Cohort16,High,20160811,20:55,589,1894,0.689,504,1448,0.651,HP,21:34,,
Bleached,W103,A040,Cohort12,High,20160811,20:07,648,2026,0.68,660,2018,0.672,HP,21:03,,
Bleached,W103,A041,Cohort13,High,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Bleached,W103,A042,Cohort15,Ambient,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W262,A043,Cohort11,Ambient,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W262,A044,Cohort18,Ambient,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
