Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,E:\TaqMan_Std.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,EXPFAIL,THOLDFAIL
B8,103 A,C,UNKNOWN,VIC,NFQ-MGB,26.98539162,27.06990433,0.119520374,,,,TRUE,0.042288946,TRUE,3,24,,N,Y,N
B8,103 A,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.224587046,TRUE,3,39,,N,Y,N
B9,103 H,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,23,,N,N,Y
B10,103 H,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,24,,N,N,Y
B11,103 H,C,UNKNOWN,VIC,NFQ-MGB,27.04288292,27.00379944,0.055272389,,,,TRUE,0.042288946,TRUE,3,23,,N,Y,N
B11,103 H,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.224587046,TRUE,3,39,,N,Y,N
B12,103 H,C,UNKNOWN,VIC,NFQ-MGB,26.96471596,27.00379944,0.055272389,,,,TRUE,0.042288946,TRUE,3,23,,N,Y,N
B12,103 H,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.224587046,TRUE,3,39,,N,Y,N
C1,104,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,33,,N,N,Y
C2,104,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,34,,N,N,Y
C3,104,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.042288946,TRUE,3,33,,N,N,N
C3,104,D,UNKNOWN,FAM,NFQ-MGB,35.30866241,35.49159241,0.258704782,,,,TRUE,0.224587046,TRUE,3,29,,N,N,N
C4,104,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.042288946,TRUE,3,34,,N,N,N
C4,104,D,UNKNOWN,FAM,NFQ-MGB,35.67452621,35.49159241,0.258704782,,,,TRUE,0.224587046,TRUE,3,30,,N,N,N
C5,104 A,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,27,,N,N,Y
C6,104 A,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,27,,N,N,Y
C7,104 A,C,UNKNOWN,VIC,NFQ-MGB,35.83266068,35.24358368,0.833080649,,,,TRUE,0.042288946,TRUE,3,31,,Y,N,N
C7,104 A,D,UNKNOWN,FAM,NFQ-MGB,31.96020508,31.79428101,0.234652072,,,,TRUE,0.224587046,TRUE,3,26,,Y,N,N
C8,104 A,C,UNKNOWN,VIC,NFQ-MGB,34.65450668,35.24358368,0.833080649,,,,TRUE,0.042288946,TRUE,3,31,,Y,N,N
C8,104 A,D,UNKNOWN,FAM,NFQ-MGB,31.62835693,31.79428101,0.234652072,,,,TRUE,0.224587046,TRUE,3,26,,Y,N,N
C9,104 H,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,28,,N,N,Y
C10,104 H,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,27,,N,N,Y
C11,104 H,C,UNKNOWN,VIC,NFQ-MGB,37.76952744,37.15325165,0.871548295,,,,TRUE,0.042288946,TRUE,3,30,,Y,N,N
C11,104 H,D,UNKNOWN,FAM,NFQ-MGB,32.425457,32.59773254,0.2436371,,,,TRUE,0.224587046,TRUE,3,26,,Y,N,N
C12,104 H,C,UNKNOWN,VIC,NFQ-MGB,36.53697205,37.15325165,0.871548295,,,,TRUE,0.042288946,TRUE,3,31,,Y,N,N
C12,104 H,D,UNKNOWN,FAM,NFQ-MGB,32.7700119,32.59773254,0.2436371,,,,TRUE,0.224587046,TRUE,3,27,,Y,N,N
D1,106,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,31,,N,N,Y
D2,106,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,31,,N,N,Y
D3,106,C,UNKNOWN,VIC,NFQ-MGB,32.87454987,32.84774017,0.037911933,,,,TRUE,0.042288946,TRUE,3,30,,N,N,N
D3,106,D,UNKNOWN,FAM,NFQ-MGB,34.81619644,35.07500839,0.366015375,,,,TRUE,0.224587046,TRUE,3,29,,N,N,N
D4,106,C,UNKNOWN,VIC,NFQ-MGB,32.8209343,32.84774017,0.037911933,,,,TRUE,0.042288946,TRUE,3,30,,N,N,N
D4,106,D,UNKNOWN,FAM,NFQ-MGB,35.33382034,35.07500839,0.366015375,,,,TRUE,0.224587046,TRUE,3,29,,N,N,N
D5,106 A,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,24,,N,N,Y
D6,106 A,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,24,,N,N,Y
D7,106 A,C,UNKNOWN,VIC,NFQ-MGB,32.91828918,32.86196136,0.079659566,,,,TRUE,0.042288946,TRUE,3,30,,N,N,N
D7,106 A,D,UNKNOWN,FAM,NFQ-MGB,31.59896088,31.72709846,0.181213915,,,,TRUE,0.224587046,TRUE,3,26,,N,N,N
D8,106 A,C,UNKNOWN,VIC,NFQ-MGB,32.80563354,32.86196136,0.079659566,,,,TRUE,0.042288946,TRUE,3,29,,N,N,N
D8,106 A,D,UNKNOWN,FAM,NFQ-MGB,31.85523605,31.72709846,0.181213915,,,,TRUE,0.224587046,TRUE,3,26,,N,N,N
D9,106 H,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,25,,N,N,Y
D10,106 H,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,25,,N,N,Y
D11,106 H,C,UNKNOWN,VIC,NFQ-MGB,34.66649246,34.42345428,0.343705177,,,,TRUE,0.042288946,TRUE,3,31,,N,N,N
D11,106 H,D,UNKNOWN,FAM,NFQ-MGB,31.6307869,31.77427292,0.202919886,,,,TRUE,0.224587046,TRUE,3,26,,N,N,N
D12,106 H,C,UNKNOWN,VIC,NFQ-MGB,34.18041992,34.42345428,0.343705177,,,,TRUE,0.042288946,TRUE,3,30,,N,N,N
D12,106 H,D,UNKNOWN,FAM,NFQ-MGB,31.91775894,31.77427292,0.202919886,,,,TRUE,0.224587046,TRUE,3,26,,N,N,N
E1,257,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,32,,N,N,Y
E2,257,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,32,,N,N,Y
E3,257,C,UNKNOWN,VIC,NFQ-MGB,29.38798523,29.46730804,0.112179399,,,,TRUE,0.042288946,TRUE,3,26,,N,Y,N
E3,257,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.224587046,TRUE,3,39,,N,Y,N
E4,257,C,UNKNOWN,VIC,NFQ-MGB,29.54663086,29.46730804,0.112179399,,,,TRUE,0.042288946,TRUE,3,26,,N,Y,N
E4,257,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.224587046,TRUE,3,39,,N,Y,N
E5,257 A,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,26,,N,N,Y
E6,257 A,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,28,,N,N,Y
E7,257 A,C,UNKNOWN,VIC,NFQ-MGB,26.89284706,26.93388367,0.058035873,,,,TRUE,0.042288946,TRUE,3,24,,N,Y,N
E7,257 A,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.224587046,TRUE,3,39,,N,Y,N
E8,257 A,C,UNKNOWN,VIC,NFQ-MGB,26.97492218,26.93388367,0.058035873,,,,TRUE,0.042288946,TRUE,3,24,,N,Y,N
E8,257 A,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.224587046,TRUE,3,39,,N,Y,N
E9,257 H,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,25,,N,N,Y
E10,257 H,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,27,,N,N,Y
E11,257 H,C,UNKNOWN,VIC,NFQ-MGB,27.24073219,27.39615822,0.219805598,,,,TRUE,0.042288946,TRUE,3,24,,N,Y,N
E11,257 H,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.224587046,TRUE,3,39,,N,Y,N
E12,257 H,C,UNKNOWN,VIC,NFQ-MGB,27.55158424,27.39615822,0.219805598,,,,TRUE,0.042288946,TRUE,3,24,,N,N,N
E12,257 H,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.224587046,TRUE,3,35,,N,N,N
F1,261,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,33,,N,N,Y
F2,261,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,32,,N,N,Y
F3,261,C,UNKNOWN,VIC,NFQ-MGB,29.7903614,29.86652756,0.107715204,,,,TRUE,0.042288946,TRUE,3,27,,N,Y,N
F3,261,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.224587046,TRUE,3,39,,N,Y,N
F4,261,C,UNKNOWN,VIC,NFQ-MGB,29.94269371,29.86652756,0.107715204,,,,TRUE,0.042288946,TRUE,3,27,,N,Y,N
F4,261,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.224587046,TRUE,3,39,,N,Y,N
F5,261 A,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,24,,N,N,Y
F6,261 A,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,25,,N,N,Y
F7,261 A,C,UNKNOWN,VIC,NFQ-MGB,26.68919182,26.80999374,0.170838371,,,,TRUE,0.042288946,TRUE,3,23,,N,Y,N
F7,261 A,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.224587046,TRUE,3,39,,N,Y,N
F8,261 A,C,UNKNOWN,VIC,NFQ-MGB,26.93079376,26.80999374,0.170838371,,,,TRUE,0.042288946,TRUE,3,24,,N,Y,N
F8,261 A,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.224587046,TRUE,3,39,,N,Y,N
F9,261 H,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,30,,N,N,Y
F10,261 H,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,28,,N,N,Y
F11,261 H,C,UNKNOWN,VIC,NFQ-MGB,28.14994812,28.16904831,0.027011747,,,,TRUE,0.042288946,TRUE,3,25,,N,N,N
F11,261 H,D,UNKNOWN,FAM,NFQ-MGB,35.06764221,34.82091522,0.348924667,,,,TRUE,0.224587046,TRUE,3,29,,N,N,N
F12,261 H,C,UNKNOWN,VIC,NFQ-MGB,28.1881485,28.16904831,0.027011747,,,,TRUE,0.042288946,TRUE,3,25,,N,N,N
F12,261 H,D,UNKNOWN,FAM,NFQ-MGB,34.57418823,34.82091522,0.348924667,,,,TRUE,0.224587046,TRUE,3,28,,N,N,N
G1,NTC,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,39,,N,Y,Y
G2,NTC,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,39,,N,Y,Y
G3,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.042288946,TRUE,3,39,,N,Y,N
G3,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.224587046,TRUE,3,39,,N,Y,N
G4,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.042288946,TRUE,3,39,,N,Y,N
G4,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.224587046,TRUE,3,39,,N,Y,N
G5,,,,,,,,,,,,,,,,,,N,N,N
G6,,,,,,,,,,,,,,,,,,N,N,N
G7,,,,,,,,,,,,,,,,,,N,N,N
G8,,,,,,,,,,,,,,,,,,N,N,N
G9,,,,,,,,,,,,,,,,,,N,N,N
G10,,,,,,,,,,,,,,,,,,N,N,N
G11,,,,,,,,,,,,,,,,,,N,N,N
G12,,,,,,,,,,,,,,,,,,N,N,N
H1,,,,,,,,,,,,,,,,,,N,N,N
H2,,,,,,,,,,,,,,,,,,N,N,N
H3,,,,,,,,,,,,,,,,,,N,N,N
H4,,,,,,,,,,,,,,,,,,N,N,N
H5,,,,,,,,,,,,,,,,,,N,N,N
H6,,,,,,,,,,,,,,,,,,N,N,N
H7,,,,,,,,,,,,,,,,,,N,N,N
H8,,,,,,,,,,,,,,,,,,N,N,N
H9,,,,,,,,,,,,,,,,,,N,N,N
H10,,,,,,,,,,,,,,,,,,N,N,N
H11,,,,,,,,,,,,,,,,,,N,N,N
H12,,,,,,,,,,,,,,,,,,N,N,N
A1,,,,,,,,,,,,,,,,,,N,N,N
A2,,,,,,,,,,,,,,,,,,N,N,N
A3,,,,,,,,,,,,,,,,,,N,N,N
A4,,,,,,,,,,,,,,,,,,N,N,N
A5,,,,,,,,,,,,,,,,,,N,N,N
A6,,,,,,,,,,,,,,,,,,N,N,N
A7,,,,,,,,,,,,,,,,,,N,N,N
A8,,,,,,,,,,,,,,,,,,N,N,N
A9,,,,,,,,,,,,,,,,,,N,N,N
A10,,,,,,,,,,,,,,,,,,N,N,N
A11,,,,,,,,,,,,,,,,,,N,N,N
A12,,,,,,,,,,,,,,,,,,N,N,N
B1,103,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,31,,N,N,N
B2,103,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,30,,N,N,N
B3,103,C,UNKNOWN,VIC,NFQ-MGB,27.9566,28.0403,0.1184,,,,TRUE,0.0123,TRUE,3,26,,N,N,Y
B3,103,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.1933,TRUE,3,39,,N,N,Y
B4,103,C,UNKNOWN,VIC,NFQ-MGB,28.124,28.0403,0.1184,,,,TRUE,0.0123,TRUE,3,27,,N,N,Y
B4,103,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.1933,TRUE,3,39,,N,N,Y
B5,103 A,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,23,,N,N,N
B6,103 A,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,23,,N,N,N
B7,103 A,C,UNKNOWN,VIC,NFQ-MGB,25.4638,25.4756,0.0168,,,,TRUE,0.0123,TRUE,3,24,,N,N,Y
B7,103 A,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.1933,TRUE,3,39,,N,N,Y
B8,103 A,C,UNKNOWN,VIC,NFQ-MGB,25.4875,25.4756,0.0168,,,,TRUE,0.0123,TRUE,3,24,,N,N,Y
B8,103 A,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.1933,TRUE,3,39,,N,N,Y
B9,103 H,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,23,,N,N,N
B10,103 H,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,23,,N,N,N
B11,103 H,C,UNKNOWN,VIC,NFQ-MGB,25.0017,25.2263,0.3176,,,,TRUE,0.0123,TRUE,3,24,,N,N,Y
B11,103 H,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.1933,TRUE,3,39,,N,N,Y
B12,103 H,C,UNKNOWN,VIC,NFQ-MGB,25.4509,25.2263,0.3176,,,,TRUE,0.0123,TRUE,3,24,,N,N,Y
B12,103 H,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.1933,TRUE,3,39,,N,N,Y
C1,104,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,34,,N,N,N
C2,104,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,32,,N,N,N
C3,104,C,UNKNOWN,VIC,NFQ-MGB,36.6881,36.6881,,,,,TRUE,0.0123,TRUE,3,34,,N,N,N
C3,104,D,UNKNOWN,FAM,NFQ-MGB,34.6899,34.6899,,,,,TRUE,0.1933,TRUE,3,29,,N,N,N
C4,104,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,36.6881,,,,,TRUE,0.0123,TRUE,3,39,,N,Y,Y
C4,104,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,34.6899,,,,,TRUE,0.1933,TRUE,3,39,,N,Y,Y
C5,104 A,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,26,,N,N,N
C6,104 A,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,27,,N,N,N
C7,104 A,C,UNKNOWN,VIC,NFQ-MGB,32.3946,32.4371,0.0601,,,,TRUE,0.0123,TRUE,3,30,,N,N,N
C7,104 A,D,UNKNOWN,FAM,NFQ-MGB,31.4711,31.593,0.1724,,,,TRUE,0.1933,TRUE,3,26,,N,N,N
C8,104 A,C,UNKNOWN,VIC,NFQ-MGB,32.4796,32.4371,0.0601,,,,TRUE,0.0123,TRUE,3,30,,N,N,N
C8,104 A,D,UNKNOWN,FAM,NFQ-MGB,31.7149,31.593,0.1724,,,,TRUE,0.1933,TRUE,3,26,,N,N,N
C9,104 H,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,28,,N,N,N
C10,104 H,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,28,,N,N,N
C11,104 H,C,UNKNOWN,VIC,NFQ-MGB,32.6356,32.767,0.1859,,,,TRUE,0.0123,TRUE,3,31,,N,N,N
C11,104 H,D,UNKNOWN,FAM,NFQ-MGB,31.7565,31.8998,0.2026,,,,TRUE,0.1933,TRUE,3,26,,N,N,N
C12,104 H,C,UNKNOWN,VIC,NFQ-MGB,32.8985,32.767,0.1859,,,,TRUE,0.0123,TRUE,3,31,,N,N,N
C12,104 H,D,UNKNOWN,FAM,NFQ-MGB,32.0431,31.8998,0.2026,,,,TRUE,0.1933,TRUE,3,26,,N,N,N
D1,106,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,33,,N,N,N
D2,106,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,30,,N,N,N
D3,106,C,UNKNOWN,VIC,NFQ-MGB,31.2164,31.0572,0.2252,,,,TRUE,0.0123,TRUE,3,30,,N,N,N
D3,106,D,UNKNOWN,FAM,NFQ-MGB,34.6941,34.6268,0.0951,,,,TRUE,0.1933,TRUE,3,29,,N,N,N
D4,106,C,UNKNOWN,VIC,NFQ-MGB,30.8979,31.0572,0.2252,,,,TRUE,0.0123,TRUE,3,29,,N,N,N
D4,106,D,UNKNOWN,FAM,NFQ-MGB,34.5596,34.6268,0.0951,,,,TRUE,0.1933,TRUE,3,29,,N,N,N
D5,106 A,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,25,,N,N,N
D6,106 A,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,24,,N,N,N
D7,106 A,C,UNKNOWN,VIC,NFQ-MGB,31.4327,31.3973,0.05,,,,TRUE,0.0123,TRUE,3,30,,N,N,N
D7,106 A,D,UNKNOWN,FAM,NFQ-MGB,31.6651,31.736,0.1002,,,,TRUE,0.1933,TRUE,3,26,,N,N,N
D8,106 A,C,UNKNOWN,VIC,NFQ-MGB,31.3619,31.3973,0.05,,,,TRUE,0.0123,TRUE,3,30,,N,N,N
D8,106 A,D,UNKNOWN,FAM,NFQ-MGB,31.8069,31.736,0.1002,,,,TRUE,0.1933,TRUE,3,26,,N,N,N
D9,106 H,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,25,,N,N,N
D10,106 H,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,25,,N,N,N
D11,106 H,C,UNKNOWN,VIC,NFQ-MGB,32.0086,32.333,0.4587,,,,TRUE,0.0123,TRUE,3,31,,Y,N,N
D11,106 H,D,UNKNOWN,FAM,NFQ-MGB,31.1572,31.6491,0.6957,,,,TRUE,0.1933,TRUE,3,26,,Y,N,N
D12,106 H,C,UNKNOWN,VIC,NFQ-MGB,32.6573,32.333,0.4587,,,,TRUE,0.0123,TRUE,3,31,,Y,N,N
D12,106 H,D,UNKNOWN,FAM,NFQ-MGB,32.141,31.6491,0.6957,,,,TRUE,0.1933,TRUE,3,27,,Y,N,N
E1,257,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,33,,N,N,N
E2,257,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,32,,N,N,N
E3,257,C,UNKNOWN,VIC,NFQ-MGB,28.1421,28.1523,0.0144,,,,TRUE,0.0123,TRUE,3,26,,N,N,Y
E3,257,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.1933,TRUE,3,39,,N,N,Y
E4,257,C,UNKNOWN,VIC,NFQ-MGB,28.1625,28.1523,0.0144,,,,TRUE,0.0123,TRUE,3,27,,N,N,Y
E4,257,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.1933,TRUE,3,39,,N,N,Y
E5,257 A,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,28,,N,N,N
E6,257 A,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,27,,N,N,N
E7,257 A,C,UNKNOWN,VIC,NFQ-MGB,25.6097,25.5618,0.0677,,,,TRUE,0.0123,TRUE,3,24,,N,N,Y
E7,257 A,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.1933,TRUE,3,39,,N,N,Y
E8,257 A,C,UNKNOWN,VIC,NFQ-MGB,25.5139,25.5618,0.0677,,,,TRUE,0.0123,TRUE,3,24,,N,N,Y
E8,257 A,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.1933,TRUE,3,39,,N,N,Y
E9,257 H,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,26,,N,N,N
E10,257 H,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,25,,N,N,N
E11,257 H,C,UNKNOWN,VIC,NFQ-MGB,26.0131,26.0005,0.0177,,,,TRUE,0.0123,TRUE,3,24,,N,N,Y
E11,257 H,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.1933,TRUE,3,39,,N,N,Y
E12,257 H,C,UNKNOWN,VIC,NFQ-MGB,25.988,26.0005,0.0177,,,,TRUE,0.0123,TRUE,3,24,,N,N,N
E12,257 H,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.1933,TRUE,3,35,,N,N,N
